season_year,season_type,week,home_team,home_score,away_team,away_score,team,forced_fumble,fg_block,fumble_rec,fumble_rec_tds,kicking_rec_tds,kickret_tds,puntret_tds,puntret_tds,ints,int_tds,misc_tds,punt_block,safety,sack,xp_block
2016,Preseason,1,NYJ,17,JAC,13,JAC,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,0
2016,Regular,1,BAL,13,BUF,7,BUF,0,0,1,0,0,0,0,0,0,0,0,0,0,4.0,0
2016,Preseason,1,NYJ,17,JAC,13,NYJ,0,0,0,0,0,0,0,0,1,0,0,0,0,3.0,0
2016,Preseason,1,CIN,16,MIN,17,MIN,0,0,0,0,0,0,0,0,2,0,0,0,0,2.0,0
2016,Preseason,1,PHI,17,TB,9,PHI,3,0,2,0,0,0,0,0,3,0,0,0,0,3.0,0
2016,Regular,1,JAC,23,GB,27,GB,1,0,0,0,0,0,0,0,1,0,0,0,0,3.0,0
2016,Regular,1,DEN,21,CAR,20,DEN,0,0,0,0,0,0,0,0,1,0,0,0,0,3.0,0
2016,Preseason,1,BUF,18,IND,19,IND,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0
2016,Regular,1,NO,34,OAK,35,OAK,2,0,1,0,0,0,0,0,0,0,0,0,0,1.0,0
2016,Preseason,1,SF,13,HOU,24,SF,1,0,0,0,0,0,0,0,0,0,0,0,0,3.0,0
2016,Preseason,1,ARI,10,OAK,31,OAK,1,0,1,0,0,0,0,0,2,0,0,0,0,1.0,0
2016,Preseason,1,NE,34,NO,22,NO,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0
2016,Regular,1,IND,35,DET,39,DET,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0
2016,Preseason,1,PIT,17,DET,30,PIT,3,0,1,0,0,0,0,0,1,1,0,0,0,1.0,0
2016,Preseason,1,ATL,23,WAS,17,ATL,1,0,0,0,0,1,0,0,0,0,0,0,0,3.0,0
2016,Preseason,1,GB,17,CLE,11,CLE,0,0,0,0,0,0,0,0,1,0,0,0,1,2.0,0
2016,Regular,1,HOU,23,CHI,14,HOU,1,0,0,0,0,0,0,0,1,0,0,0,0,5.0,0
2016,Regular,1,JAC,23,GB,27,JAC,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0
2016,Preseason,1,CIN,16,MIN,17,CIN,0,0,0,0,0,0,1,1,1,0,0,0,0,1.0,0
