Date, Vis Team, Home Team, Vis Spread, Home Spread, Over Under
9/9/10, Vikings, Saints,5,-5,49
9/12/10, Panthers, Giants,6,-6,41
9/12/10, Dolphins, Bills,-3,3,39
9/12/10, Falcons, Steelers,-1,1,39
9/12/10, Lions, Bears,6.5,-6.5,44.5
9/12/10, Bengals, Patriots,5.5,-5.5,45
9/12/10, Browns, Buccaneers,3,-3,37
9/12/10, Broncos, Jaguars,3,-3,41
9/12/10, Colts, Texans,-1,1,48
9/12/10, Raiders, Titans,6.5,-6.5,40
9/12/10, Packers, Eagles,-3,3,48
9/12/10, 49ers, Seahawks,-3,3,37
9/12/10, Cardinals, Rams,-3.5,3.5,39.5
9/12/10, Cowboys, Redskins,-3.5,3.5,40
9/13/10, Ravens, Jets,1,-1,36
9/13/10, Chargers, Chiefs,-4,4,45.5
9/19/10, Bills, Packers,12.5,-12.5,43
9/19/10, Steelers, Titans,6,-6,37
9/19/10, Cardinals, Falcons,7,-7,43
9/19/10, Dolphins, Vikings,5.5,-5.5,41
9/19/10, Rams, Raiders,3.5,-3.5,37.5
9/19/10, Seahawks, Broncos,3.5,-3.5,41.5
9/19/10, Giants, Colts,4,-4,47.5
9/19/10, Eagles, Lions,-6.5,6.5,41
9/19/10, Bears, Cowboys,7.5,-7.5,41
9/19/10, Texans, Redskins,-2.5,2.5,43
9/19/10, Chiefs, Browns,3,-3,38
9/19/10, Ravens, Bengals,-3,3,39
9/19/10, Jaguars, Chargers,7,-7,45
9/19/10, Patriots, Jets,-3,3,39.5
9/19/10, Buccaneers, Panthers,4,-4,38
9/20/10, Saints, 49ers,-4.5,4.5,44
9/26/10, Bills, Patriots,14.5,-14.5,42.5
9/26/10, Browns, Ravens,12,-12,36.5
9/26/10, Steelers, Buccaneers,-2.5,2.5,33
9/26/10, Bengals, Panthers,-3,3,37.5
9/26/10, Lions, Vikings,13,-13,43
9/26/10, Cowboys, Texans,2.5,-2.5,47.5
9/26/10, Redskins, Rams,-4.5,4.5,39
9/26/10, Eagles, Jaguars,-3,3,45
9/26/10, Chargers, Seahawks,-4,4,44
9/26/10, Raiders, Cardinals,5,-5,39
9/26/10, Jets, Dolphins,2,-2,35.5
9/26/10, Titans, Giants,3,-3,43
9/26/10, Colts, Broncos,-5.5,5.5,47
9/26/10, Falcons, Saints,3.5,-3.5,49.5
9/26/10, 49ers, Chiefs,-2.5,2.5,37.5
9/27/10, Packers, Bears,-3,3,45.5
10/3/10, Broncos, Titans,6.5,-6.5,43.5
10/3/10, Ravens, Steelers,2.5,-2.5,34
10/3/10, Bengals, Browns,-2.5,2.5,37
10/3/10, Panthers, Saints,12.5,-12.5,43.5
10/3/10, 49ers, Falcons,7,-7,42.5
10/3/10, Colts, Jaguars,-7,7,45.5
10/3/10, Texans, Raiders,-3,3,43.5
10/3/10, Cardinals, Chargers,10,-10,47
10/3/10, Redskins, Eagles,5,-5,44
10/3/10, Seahawks, Rams,-2,2,40
10/3/10, Jets, Bills,-6,6,36
10/3/10, Lions, Packers,14.5,-14.5,46
10/3/10, Bears, Giants,3.5,-3.5,43.5
10/4/10, Patriots, Dolphins,-1,1,48
10/10/10, Broncos, Ravens,9,-9,39
10/10/10, Jaguars, Bills,2,-2,41
10/10/10, Chiefs, Colts,7.5,-7.5,46
10/10/10, Rams, Lions,3,-3,43.5
10/10/10, Falcons, Browns,-3,3,41.5
10/10/10, Buccaneers, Bengals,7,-7,38.5
10/10/10, Packers, Redskins,-3,3,45
10/10/10, Saints, Cardinals,-7,7,45.5
10/10/10, Chargers, Raiders,-7,7,44.5
10/10/10, Titans, Cowboys,7,-7,43
10/10/10, Giants, Texans,3,-3,48.5
10/10/10, Bears, Panthers,3,-3,33.5
10/10/10, Eagles, 49ers,3.5,-3.5,39.5
10/11/10, Vikings, Jets,4.5,-4.5,38
10/17/10, Chargers, Rams,-8.5,8.5,44.5
10/17/10, Chiefs, Texans,4.5,-4.5,45.5
10/17/10, Ravens, Patriots,3,-3,44.5
10/17/10, Saints, Buccaneers,-5.5,5.5,44
10/17/10, Browns, Steelers,14,-14,37
10/17/10, Colts, Redskins,-3,3,44.5
10/17/10, Lions, Giants,10,-10,45.5
10/17/10, Raiders, 49ers,9,-9,41
10/17/10, Jets, Broncos,-3.5,3.5,43
10/17/10, Cowboys, Vikings,1.5,-1.5,43.5
10/17/10, Falcons, Eagles,2,-2,43
10/17/10, Seahawks, Bears,6,-6,37.5
10/17/10, Dolphins, Packers,3.5,-3.5,43.5
10/18/10, Titans, Jaguars,-3,3,43.5
10/24/10, Steelers, Dolphins,-3,3,40.5
10/24/10, Bengals, Falcons,3.5,-3.5,42.5
10/24/10, Browns, Saints,12.5,-12.5,44
10/24/10, Bills, Ravens,12.5,-12.5,39.5
10/24/10, 49ers, Panthers,-2.5,2.5,36
10/24/10, Rams, Buccaneers,3,-3,39
10/24/10, Cardinals, Seahawks,6.5,-6.5,40.5
10/24/10, Patriots, Chargers,3,-3,49
10/24/10, Vikings, Packers,3,-3,44
10/24/10, Redskins, Bears,3,-3,39.5
10/24/10, Eagles, Titans,3,-3,41.5
10/24/10, Raiders, Broncos,7,-7,43
10/24/10, Jaguars, Chiefs,9,-9,38.5
10/25/10, Giants, Cowboys,3.5,-3.5,45
10/31/10, Redskins, Lions,3,-3,45
10/31/10, Panthers, Rams,3,-3,37.5
10/31/10, Dolphins, Bengals,-1,1,44
10/31/10, Bills, Chiefs,7,-7,45.5
10/31/10, Titans, Chargers,5.5,-5.5,45
10/31/10, Buccaneers, Cardinals,3,-3,38.5
10/31/10, Seahawks, Raiders,2,-2,40.5
10/31/10, Steelers, Saints,1.5,-1.5,45
10/31/10, Packers, Jets,6.5,-6.5,42
10/31/10, Vikings, Patriots,5,-5,44.5
10/31/10, Broncos, 49ers,2.5,-2.5,41.5
10/31/10, Jaguars, Cowboys,6.5,-6.5,43.5
11/1/10, Texans, Colts,5,-5,50.5
11/7/10, Bears, Bills,-3,3,41.5
11/7/10, Buccaneers, Falcons,10,-10,44.5
11/7/10, Jets, Lions,-5.5,5.5,42
11/7/10, Dolphins, Ravens,5,-5,41
11/7/10, Giants, Seahawks,-7,7,41
11/7/10, Chiefs, Raiders,-1,1,41
11/7/10, Cowboys, Packers,7.5,-7.5,46
11/7/10, Cardinals, Vikings,7.5,-7.5,42.5
11/7/10, Patriots, Browns,-4,4,44
11/7/10, Colts, Eagles,3,-3,46
11/7/10, Chargers, Texans,-3,3,50
11/7/10, Saints, Panthers,-5.5,5.5,40
11/8/10, Steelers, Bengals,-5.5,5.5,41.5
11/11/10, Ravens, Falcons,1,-1,44
11/14/10, Texans, Jaguars,1,-1,48.5
11/14/10, Vikings, Bears,-1,1,40.5
11/14/10, Jets, Browns,-3.5,3.5,37.5
11/14/10, Chiefs, Broncos,-1,1,44.5
11/14/10, Rams, 49ers,5.5,-5.5,38.5
11/14/10, Titans, Dolphins,1,-1,43
11/14/10, Cowboys, Giants,13,-13,46
11/14/10, Lions, Bills,1.5,-1.5,45
11/14/10, Seahawks, Cardinals,3.5,-3.5,41.5
11/14/10, Bengals, Colts,7,-7,47
11/14/10, Panthers, Buccaneers,7,-7,37
11/14/10, Patriots, Steelers,4.5,-4.5,44.5
11/15/10, Eagles, Redskins,-3,3,44
