Date, Vis Team, Home Team, Vis Spread, Home Spread, Over Under
2016-11-24, Vikings, Lions, +2.0, -2.0, +42.0
2016-11-24, Steelers, Colts, -8.0, +8.0, +50.0
2016-11-24, Redskins, Cowboys, +6.0, -6.0, +52.0
2016-11-27, Titans, Bears, -6.5, +6.5, +42.0
2016-11-27, Jaguars, Bills, +9.0, -9.0, +44.0
2016-11-27, Bengals, Ravens, +3.5, -3.5, +41.5
2016-11-27, Cardinals, Falcons, +4.0, -4.0, +49.5
2016-11-27, 49ers, Dolphins, +7.5, -7.5, +45.0
2016-11-27, Rams, Saints, +7.5, -7.5, +44.5
2016-11-27, Giants, Browns, -6.5, +6.5, +45.5
2016-11-27, Seahawks, Buccaneers, -5.0, +5.0, +45.5
2016-11-27, Chiefs, Broncos, +3.5, -3.5, +40.0
2016-11-27, Patriots, Jets, -8.5, +8.5, +47.5
2016-11-27, Chargers, Texans, -2.5, +2.5, +46.0
2016-11-27, Panthers, Raiders, +3.5, -3.5, +48.0
2016-11-28, Packers, Eagles, +4.0, -4.0, +47.0
