team,spread,o/u,season_year,week
BAL,7.0,48.0,2013,1
NE,-7.0,53.0,2013,1
TEN,6.5,43.5,2013,1
ATL,3.0,54.0,2013,1
TB,-2.0,41.0,2013,1
KC,-2.5,39.5,2013,1
CIN,3.5,45.0,2013,1
MIA,0.0,39.5,2013,1
SEA,-3.5,45.0,2013,1
MIN,3.0,47.0,2013,1
OAK,7.0,48.5,2013,1
ARI,6.0,40.0,2013,1
GB,5.5,50.0,2013,1
NYG,3.0,49.0,2013,1
PHI,5.0,50.5,2013,1
HOU,-3.0,46.0,2013,1
NYJ,12.0,44.0,2013,2
CLE,6.5,43.0,2013,2
MIA,3.0,42.5,2013,2
CAR,-3.0,44.5,2013,2
STL,6.5,47.0,2013,2
MIN,6.5,41.0,2013,2
NO,-3.0,46.5,2013,2
DET,0.0,47.0,2013,2
JAC,6.0,39.5,2013,2
SF,3.0,45.0,2013,2
DEN,-5.0,54.5,2013,2
SD,7.5,54.5,2013,2
DAL,3.0,46.5,2013,2
TEN,9.5,43.0,2013,2
WAS,7.5,49.5,2013,2
PIT,6.5,40.5,2013,2
KC,3.0,50.0,2013,3
SD,3.0,44.0,2013,3
HOU,-2.0,44.5,2013,3
STL,3.5,46.5,2013,3
ATL,1.0,44.0,2013,3
BUF,3.0,39.0,2013,3
CLE,3.5,41.0,2013,3
DET,0.0,48.5,2013,3
NYG,2.0,46.0,2013,3
TB,7.0,46.0,2013,3
ARI,9.0,48.0,2013,3
IND,10.0,46.0,2013,3
JAC,19.5,40.5,2013,3
GB,-2.0,48.0,2013,3
CHI,-2.5,40.0,2013,3
OAK,14.5,49.0,2013,3
SF,-3.5,43.0,2013,4
CIN,-5.0,41.5,2013,4
IND,-9.5,42.0,2013,4
SEA,-3.0,44.0,2013,4
ARI,2.5,40.5,2013,4
NYG,4.0,44.0,2013,4
BAL,-3.5,43.5,2013,4
DAL,-1.0,45.5,2013,4
NE,-1.0,49.0,2013,4
NYJ,4.5,39.0,2013,4
PIT,-1.0,42.0,2013,4
CHI,3.0,47.5,2013,4
WAS,-3.0,43.5,2013,4
PHI,11.0,57.5,2013,4
MIA,5.5,47.0,2013,4
BUF,3.5,41.0,2013,5
DET,10.0,53.5,2013,5
SD,-4.5,46.0,2013,5
DEN,-7.5,56.5,2013,5
PHI,-1.0,53.0,2013,5
JAC,10.5,41.5,2013,5
SEA,-3.0,43.0,2013,5
CAR,-3.0,42.0,2013,5
HOU,5.5,43.0,2013,5
NO,1.0,51.0,2013,5
BAL,3.0,43.5,2013,5
KC,-2.5,38.0,2013,5
NE,-2.0,45.5,2013,5
NYJ,9.0,43.5,2013,5
NYG,8.5,47.0,2013,6
GB,-3.0,48.5,2013,6
TEN,13.0,40.5,2013,6
CAR,2.0,44.0,2013,6
WAS,5.5,52.0,2013,6
PIT,-1.5,41.0,2013,6
JAC,27.0,53.0,2013,6
DET,-2.5,43.5,2013,6
NO,2.0,50.5,2013,6
ARI,10.0,40.5,2013,6
OAK,7.5,41.0,2013,6
PHI,-2.5,45.5,2013,6
STL,7.5,42.5,2013,6
CIN,-6.0,41.5,2013,6
IND,-1.0,50.0,2013,6
SEA,-5.0,40.5,2013,7
NE,-3.5,43.5,2013,7
HOU,6.0,39.0,2013,7
CIN,2.0,46.5,2013,7
CHI,-1.0,48.5,2013,7
DAL,3.0,55.5,2013,7
STL,7.0,42.5,2013,7
TB,6.5,43.0,2013,7
SF,-3.5,40.5,2013,7
CLE,9.5,45.0,2013,7
BAL,2.5,41.0,2013,7
DEN,-6.0,55.0,2013,7
SD,-7.5,44.5,2013,7
BUF,6.5,44.0,2013,7
MIN,4.5,47.5,2013,7
CAR,-7.0,40.0,2013,8
PIT,-2.0,40.5,2013,8
NYJ,5.0,41.5,2013,8
MIA,6.0,45.0,2013,8
BUF,10.5,48.5,2013,8
CLE,7.0,38.5,2013,8
NYG,5.5,50.0,2013,8
DAL,3.0,51.0,2013,8
SF,-14.5,40.0,2013,8
WAS,11.0,58.0,2013,8
ATL,2.5,45.5,2013,8
GB,-7.5,47.0,2013,8
SEA,-13.0,43.0,2013,8
CIN,-3.0,43.0,2013,9
BAL,-1.5,41.5,2013,9
TB,15.5,41.0,2013,9
PHI,0.0,45.0,2013,9
SD,2.0,49.5,2013,9
KC,-4.5,40.5,2013,9
TEN,-3.5,40.5,2013,9
NO,-6.0,45.5,2013,9
MIN,9.0,50.5,2013,9
ATL,9.0,47.0,2013,9
PIT,5.5,42.5,2013,9
IND,-1.0,43.5,2013,9
CHI,10.5,51.0,2013,9
WAS,-2.5,49.0,2013,10
JAC,13.0,41.5,2013,10
OAK,7.0,41.5,2013,10
