Week;Year;GID;Name;Pos;Team;h/a;Oppt;DK points;DK salary
2;2015;1232;Roethlisberger, Ben;QB;pit;h;sfo;33.66;7200
2;2015;1131;Brady, Tom;QB;nwe;a;buf;32.24;7500
2;2015;1404;Kaepernick, Colin;QB;sfo;a;pit;30.5;6600
2;2015;1441;Carr, Derek;QB;oak;h;bal;30.34;5500
2;2015;1400;Taylor, Tyrod;QB;buf;h;nwe;28.98;6200
2;2015;1378;Newton, Cam;QB;car;h;hou;28.4;7200
2;2015;1410;Tannehill, Ryan;QB;mia;a;jac;27.06;7000
2;2015;1302;Flacco, Joe;QB;bal;a;oak;25.56;6400
2;2015;1412;Wilson, Russell;QB;sea;a;gnb;23.04;7300
2;2015;1252;Rodgers, Aaron;QB;gnb;h;sea;22.26;8300
2;2015;1207;Palmer, Carson;QB;ari;a;chi;22.2;6700
2;2015;1442;Bortles, Blake;QB;jac;h;mia;21.62;5300
2;2015;1403;Dalton, Andy;QB;cin;h;sdg;21.56;5800
2;2015;1301;Ryan, Matt;QB;atl;a;nyg;21.42;7400
2;2015;1081;Manning, Peyton;QB;den;a;kan;21.24;7500
2;2015;1225;Manning, Eli;QB;nyg;h;atl;20.98;7100
2;2015;1340;Stafford, Matthew;QB;det;a;min;20.44;6800
2;2015;1465;Winston, Jameis;QB;tam;a;nor;19.58;5600
2;2015;1401;Mallett, Ryan;QB;bal;a;oak;19.36;5100
2;2015;1439;Bridgewater, Teddy;QB;min;h;det;18.22;6400
2;2015;1466;Mariota, Marcus;QB;ten;a;cle;18.18;6000
2;2015;1242;Fitzpatrick, Ryan;QB;nyj;a;ind;17.36;5500
2;2015;1231;Rivers, Philip;QB;sdg;a;cin;16.14;6700
2;2015;1438;Manziel, Johnny;QB;cle;h;ten;14.98;5200
2;2015;1151;Brees, Drew;QB;nor;h;tam;13.1;7800
2;2015;1409;Luck, Andrew;QB;ind;h;nyj;12.4;8200
2;2015;1415;Cousins, Kirk;QB;was;h;stl;12.12;5500
2;2015;1344;Bradford, Sam;QB;phi;h;dal;10.86;6900
2;2015;1263;Cutler, Jay;QB;chi;h;ari;10.2;6000
2;2015;1413;Foles, Nick;QB;stl;a;was;10.1;5500
2;2015;1233;Romo, Tony;QB;dal;a;phi;8;7100
2;2015;1411;Weeden, Brandon;QB;hou;a;car;7.62;5000
2;2015;1254;Smith, Alex;QB;kan;h;den;7.14;6300
2;2015;1350;Clausen, Jimmy;QB;bal;a;oak;3.34;5000
2;2015;1249;Orlovsky, Dan;QB;det;a;min;0;5000
2;2015;1227;McCown, Luke;QB;nor;h;tam;0;5000
2;2015;5071;Webb, Joe;QB;car;h;hou;0;5000
2;2015;1489;Murphy, Tyler;QB;pit;h;sfo;0;3000
2;2015;1155;Vick, Michael;QB;pit;h;sfo;-0.3;5000
2;2015;3552;Jones, Matt;RB;was;h;stl;31.6;3500
2;2015;2500;Williams, DeAngelo;RB;pit;h;sfo;31.2;5300
2;2015;2816;Lewis, Dion;RB;nwe;a;buf;24.8;3400
2;2015;2629;Charles, Jamaal;RB;kan;h;den;23.7;7600
2;2015;2553;Peterson, Adrian;RB;min;h;det;23.2;7700
2;2015;2889;Bernard, Giovani;RB;cin;h;sdg;19.9;4500
2;2015;2899;Murray, Latavius;RB;oak;h;bal;17.7;5800
2;2015;2830;Vereen, Shane;RB;nyg;h;atl;17.5;4200
2;2015;5395;Johnson, David;RB;ari;a;chi;17.5;4200
2;2015;2689;Woodhead, Danny;RB;sdg;a;cin;16.4;4000
2;2015;3953;McCluster, Dexter;RB;ten;a;cle;16.4;3000
2;2015;2930;Freeman, Devonta;RB;atl;a;nyg;15.9;4200
2;2015;2707;McCoy, LeSean;RB;buf;h;nwe;14.6;6600
2;2015;2613;Forte, Matt;RB;chi;h;ari;14.5;7700
2;2015;2793;Ingram, Mark;RB;nor;h;tam;13.8;5900
2;2015;2975;Taliaferro, Lorenzo;RB;bal;a;oak;13.6;3000
2;2015;2777;Starks, James;RB;gnb;h;sea;13.6;3000
2;2015;2969;Crowell, Isaiah;RB;cle;h;ten;13.2;4400
2;2015;2642;Forsett, Justin;RB;bal;a;oak;12;6200
2;2015;5372;Williams, Karlos;RB;buf;h;nwe;11.7;3300
2;2015;2993;Yeldon, T.J.;RB;jac;h;mia;11.3;4800
