season_year,season_type,week,team,full_name,position,receiving_rec,receiving_tar,receiving_tds,receiving_twopta,receiving_twoptm,receiving_yac,receiving_yds,fumbles_total,fumble_rec_tds,kicking_rec_tds,kickret_tds,puntret_tds,rushing_att,rushing_yds,rushing_tds,rushing_loss_yards,rushing_twoptm,team_score,opp_score,opp_team,h/a,total_points,rec_percentage,score_percentage,yds_per_rec,yds_per_rush,DK points
2016,Preseason,1,ARI,Chris Hubert,WR,1,4,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,10,31,OAK,1,0,0.25,0.0,9.0,,1.9
2016,Preseason,1,ARI,J.J. Nelson,WR,1,6,0,0,0,0,11,1,0,0,0,0,0,0,0,0,0,10,31,OAK,1,0,0.166666666667,0.0,11.0,,1.1
2016,Preseason,1,ARI,Larry Fitzgerald,WR,1,2,0,0,0,0,-3,0,0,0,0,0,0,0,0,0,0,10,31,OAK,1,0,0.5,0.0,-3.0,,0.7
2016,Preseason,1,ARI,Marquis Bundy,WR,2,2,0,0,0,4,23,0,0,0,0,0,0,0,0,0,0,10,31,OAK,1,0,1.0,0.0,11.5,,4.3
2016,Preseason,1,ARI,Michael Floyd,WR,1,1,0,0,0,30,30,0,0,0,0,0,0,0,0,0,0,10,31,OAK,1,0,1.0,0.0,30.0,,4.0
2016,Preseason,1,OAK,Amari Cooper,WR,1,4,0,0,0,9,6,0,0,0,0,0,0,0,0,0,0,31,10,ARI,0,0,0.25,0.0,6.0,,1.6
2016,Preseason,1,OAK,Andre Holmes,WR,2,2,1,0,0,0,8,1,0,0,0,0,0,0,0,0,0,31,10,ARI,0,6,1.0,0.193548387097,4.0,,7.8
2016,Preseason,1,OAK,Marvin Hall,WR,3,4,0,0,0,17,17,0,0,0,0,0,0,0,0,0,0,31,10,ARI,0,0,0.75,0.0,5.66666666667,,4.7
2016,Preseason,1,OAK,Michael Crabtree,WR,2,2,0,0,0,3,38,0,0,0,0,0,0,0,0,0,0,31,10,ARI,0,0,1.0,0.0,19.0,,5.8
2016,Preseason,1,OAK,Seth Roberts,WR,1,2,0,0,0,10,9,0,0,0,0,0,0,0,0,0,0,31,10,ARI,0,0,0.5,0.0,9.0,,1.9
2016,Preseason,1,ATL,Aldrick Robinson,WR,3,5,0,0,0,23,118,0,0,0,0,0,0,0,0,0,0,23,17,WAS,1,0,0.6,0.0,39.3333333333,,17.8
2016,Preseason,1,ATL,Devin Fuller,WR,1,1,0,0,0,3,17,0,0,0,0,0,0,0,0,0,0,23,17,WAS,1,0,1.0,0.0,17.0,,2.7
2016,Preseason,1,ATL,Eric Weems,WR,1,2,0,0,0,11,48,0,0,0,0,0,0,0,0,0,0,23,17,WAS,1,0,0.5,0.0,48.0,,5.8
2016,Preseason,1,ATL,Jordan Leslie,WR,1,2,0,0,0,3,13,0,0,0,0,0,0,0,0,0,0,23,17,WAS,1,0,0.5,0.0,13.0,,2.3
2016,Preseason,1,ATL,Justin Hardy,WR,1,1,0,0,0,5,17,0,0,0,0,0,0,0,0,0,0,23,17,WAS,1,0,1.0,0.0,17.0,,2.7
2016,Preseason,1,ATL,Mohamed Sanu,WR,2,4,0,0,0,2,18,0,0,0,0,0,0,0,0,0,0,23,17,WAS,1,0,0.5,0.0,9.0,,3.8
2016,Preseason,1,ATL,Nick Williams,WR,3,3,0,0,0,15,28,0,0,0,0,0,0,0,0,0,0,23,17,WAS,1,0,1.0,0.0,9.33333333333,,5.8
2016,Preseason,1,WAS,DeSean Jackson,WR,1,1,0,0,0,-1,5,0,0,0,0,0,0,0,0,0,0,17,23,ATL,0,0,1.0,0.0,5.0,,1.5
2016,Preseason,1,WAS,Maurice Harris,WR,1,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,17,23,ATL,0,0,0.5,0.0,4.0,,1.4
2016,Preseason,1,WAS,Niles Paul,WR,1,2,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,17,23,ATL,0,0,0.5,0.0,5.0,,1.5
2016,Preseason,1,WAS,Pierre Garcon,WR,1,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,17,23,ATL,0,0,1.0,0.0,5.0,,1.5
2016,Preseason,1,WAS,Rashad Ross,WR,4,5,0,0,0,6,49,1,0,0,0,0,0,0,0,0,0,17,23,ATL,0,0,0.8,0.0,12.25,,7.9
2016,Preseason,1,WAS,Ryan Grant,WR,3,4,0,0,0,25,31,0,0,0,0,0,0,0,0,0,0,17,23,ATL,0,0,0.75,0.0,10.3333333333,,6.1
2016,Preseason,1,BAL,Daniel Brown,WR,2,2,0,0,0,3,9,0,0,0,0,0,0,0,0,0,0,22,19,CAR,1,0,1.0,0.0,4.5,,2.9
2016,Preseason,1,BAL,Darren Waller,WR,5,8,0,0,0,7,48,0,0,0,0,0,0,0,0,0,0,22,19,CAR,1,0,0.625,0.0,9.6,,9.8
2016,Preseason,1,BAL,Jeremy Butler,WR,5,7,0,0,0,20,36,0,0,0,0,0,0,0,0,0,0,22,19,CAR,1,0,0.714285714286,0.0,7.2,,8.6
