season_year,season_type,week,team,full_name,position,receiving_rec,receiving_tar,receiving_tds,receiving_twopta,receiving_twoptm,receiving_yac,receiving_yds,fumbles_total,fumble_rec_tds,kicking_rec_tds,puntret_tds,kickret_tds,rushing_att,rushing_yds,rushing_tds,rushing_loss_yards,rushing_twoptm,team_score,opp_score,opp_team,h/a,total_points,rec_percentage,score_percentage,yds_per_rec,yds_per_rush,DK points
2016,Preseason,1,ARI,Ifeanyi Momah,TE,3,4,0,0,0,9,33,0,0,0,0,0,0,0,0,0,0,10,31,OAK,1,0,0.75,0.0,11.0,,6.3
2016,Preseason,1,ARI,Troy Niklas,TE,2,3,0,0,0,35,44,0,0,0,0,0,0,0,0,0,0,10,31,OAK,1,0,0.666666666667,0.0,22.0,,6.4
2016,Preseason,1,OAK,Clive Walford,TE,1,2,1,0,0,1,19,0,0,0,0,0,0,0,0,0,0,31,10,ARI,0,6,0.5,0.193548387097,19.0,,8.9
2016,Preseason,1,OAK,Gabe Holmes,TE,1,2,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,31,10,ARI,0,0,0.5,0.0,5.0,,1.5
2016,Preseason,1,OAK,Ryan O'Malley,TE,1,1,0,0,0,2,8,0,0,0,0,0,0,0,0,0,0,31,10,ARI,0,0,1.0,0.0,8.0,,1.8
2016,Preseason,1,ATL,Josh Perkins,TE,1,1,0,0,0,3,11,0,0,0,0,0,0,0,0,0,0,23,17,WAS,1,0,1.0,0.0,11.0,,2.1
2016,Preseason,1,WAS,Logan Paulsen,TE,1,3,0,0,0,8,28,0,0,0,0,0,0,0,0,0,0,17,23,ATL,0,0,0.333333333333,0.0,28.0,,3.8
2016,Preseason,1,BAL,Maxx Williams,TE,2,2,0,0,0,7,15,0,0,0,0,0,0,0,0,0,0,22,19,CAR,1,0,1.0,0.0,7.5,,3.5
2016,Preseason,1,BAL,Nick Boyle,TE,2,4,0,1,1,21,33,0,0,0,0,0,0,0,0,0,0,22,19,CAR,1,2,0.5,0.0909090909091,16.5,,7.3
2016,Preseason,1,CAR,Greg Olsen,TE,2,2,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,19,22,BAL,0,0,1.0,0.0,6.5,,3.3
2016,Preseason,1,BUF,Blake Annen,TE,2,3,0,0,0,7,26,0,0,0,0,0,0,0,0,0,0,18,19,IND,1,0,0.666666666667,0.0,13.0,,4.6
2016,Preseason,1,BUF,Chris Gragg,TE,2,2,1,0,0,0,26,0,0,0,0,0,0,0,0,0,0,18,19,IND,1,6,1.0,0.333333333333,13.0,,10.6
2016,Preseason,1,BUF,Nick O'Leary,TE,2,2,0,0,0,8,39,0,0,0,0,0,0,0,0,0,0,18,19,IND,1,0,1.0,0.0,19.5,,5.9
2016,Preseason,1,IND,Erik Swoope,TE,1,1,0,0,0,10,11,0,0,0,0,0,0,0,0,0,0,19,18,BUF,0,0,1.0,0.0,11.0,,2.1
2016,Preseason,1,DEN,Jeff Heuerman,TE,1,2,0,0,0,2,6,0,0,0,0,0,0,0,0,0,0,22,0,CHI,0,0,0.5,0.0,6.0,,1.6
2016,Preseason,1,DEN,Virgil Green,TE,3,3,0,0,0,14,26,0,0,0,0,0,0,0,0,0,0,22,0,CHI,0,0,1.0,0.0,8.66666666667,,5.6
2016,Preseason,1,CIN,Matt Lengel,TE,1,1,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,16,17,MIN,1,0,1.0,0.0,21.0,,3.1
2016,Preseason,1,MIN,David Morgan,TE,3,3,0,0,0,32,38,0,0,0,0,0,0,0,0,0,0,17,16,CIN,0,0,1.0,0.0,12.6666666667,,6.8
2016,Preseason,1,MIN,MyCole Pruitt,TE,2,2,0,0,0,10,16,0,0,0,0,0,0,0,0,0,0,17,16,CIN,0,0,1.0,0.0,8.0,,3.6
2016,Preseason,1,CLE,E.J. Bibbs,TE,1,1,0,0,0,3,5,0,0,0,0,0,0,0,0,0,0,11,17,GB,0,0,1.0,0.0,5.0,,1.5
2016,Preseason,1,CLE,Gary Barnidge,TE,2,4,0,0,0,5,10,0,0,0,0,0,0,0,0,0,0,11,17,GB,0,0,0.5,0.0,5.0,,3.0
2016,Preseason,1,GB,Jared Cook,TE,2,2,0,0,0,7,10,0,0,0,0,0,0,0,0,0,0,17,11,CLE,1,0,1.0,0.0,5.0,,3.0
2016,Preseason,1,GB,Justin Perillo,TE,5,7,0,0,0,15,52,0,0,0,0,0,0,0,0,0,0,17,11,CLE,1,0,0.714285714286,0.0,10.4,,10.2
2016,Preseason,1,GB,Kennard Backman,TE,3,4,0,0,0,11,28,0,0,0,0,0,0,0,0,0,0,17,11,CLE,1,0,0.75,0.0,9.33333333333,,5.8
2016,Preseason,1,KC,Demetrius Harris,TE,2,3,0,0,0,5,16,0,0,0,0,0,0,0,0,0,0,16,17,SEA,1,0,0.666666666667,0.0,8.0,,3.6
2016,Preseason,1,KC,Ross Travis,TE,2,2,0,0,0,14,12,0,0,0,0,0,0,0,0,0,0,16,17,SEA,1,0,1.0,0.0,6.0,,3.2
2016,Preseason,1,SEA,Brandon Williams,TE,1,2,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,17,16,KC,0,0,0.5,0.0,6.0,,1.6
2016,Preseason,1,SEA,Nick Vannett,TE,2,2,0,0,0,3,22,0,0,0,0,0,0,0,0,0,0,17,16,KC,0,0,1.0,0.0,11.0,,4.2
2016,Preseason,1,NE,A.J. Derby,TE,3,4,0,0,0,3,47,0,0,0,0,0,0,0,0,0,0,34,22,NO,1,0,0.75,0.0,15.6666666667,,7.7
2016,Preseason,1,NE,Martellus Bennett,TE,3,4,0,0,0,12,33,0,0,0,0,0,0,0,0,0,0,34,22,NO,1,0,0.75,0.0,11.0,,6.3
2016,Preseason,1,NO,Chris Manhertz,TE,1,2,0,0,0,3,11,0,0,0,0,0,0,0,0,0,0,22,34,NE,0,0,0.5,0.0,11.0,,2.1
2016,Preseason,1,NO,Coby Fleener,TE,1,1,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,22,34,NE,0,0,1.0,0.0,11.0,,2.1
2016,Preseason,1,NO,Josh Hill,TE,1,1,0,0,0,9,4,1,0,0,0,0,0,0,0,0,0,22,34,NE,0,0,1.0,0.0,4.0,,0.4
2016,Preseason,1,NO,RaShaun Allen,TE,1,1,0,0,0,5,6,0,0,0,0,0,0,0,0,0,0,22,34,NE,0,0,1.0,0.0,6.0,,1.6
2016,Preseason,1,MIA,Dion Sims,TE,1,2,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,27,10,NYG,0,0,0.5,0.0,3.0,,1.3
2016,Preseason,1,MIA,Dominique Jones,TE,2,3,0,0,0,1,25,0,0,0,0,0,0,0,0,0,0,27,10,NYG,0,0,0.666666666667,0.0,12.5,,4.5
2016,Preseason,1,MIA,Thomas Duarte,TE,1,2,1,0,0,15,16,0,0,0,0,0,0,0,0,0,0,27,10,NYG,0,6,0.5,0.222222222222,16.0,,8.6
2016,Preseason,1,NYG,Jerell Adams,TE,1,1,0,0,0,3,7,0,0,0,0,0,0,0,0,0,0,10,27,MIA,1,0,1.0,0.0,7.0,,1.7
2016,Preseason,1,JAC,Ben Koyack,TE,1,1,0,0,0,3,5,0,0,0,0,0,0,0,0,0,0,13,17,NYJ,0,0,1.0,0.0,5.0,,1.5
2016,Preseason,1,JAC,Braedon Bowman,TE,2,2,0,0,0,19,28,0,0,0,0,0,0,0,0,0,0,13,17,NYJ,0,0,1.0,0.0,14.0,,4.8
2016,Preseason,1,NYJ,Brandon Bostick,TE,1,1,0,0,0,2,6,0,0,0,0,0,0,0,0,0,0,17,13,JAC,1,0,1.0,0.0,6.0,,1.6
2016,Preseason,1,PHI,Brent Celek,TE,1,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,17,9,TB,1,0,1.0,0.0,3.0,,1.3
2016,Preseason,1,PHI,Chris Pantale,TE,1,2,0,0,0,4,9,0,0,0,0,0,0,0,0,0,0,17,9,TB,1,0,0.5,0.0,9.0,,1.9
2016,Preseason,1,PHI,Zach Ertz,TE,3,5,0,0,0,4,26,0,0,0,0,0,0,0,0,0,0,17,9,TB,1,0,0.6,0.0,8.66666666667,,5.6
2016,Preseason,1,TB,Austin Seferian-Jenkins,TE,2,2,0,0,0,6,10,0,0,0,0,0,0,0,0,0,0,9,17,PHI,0,0,1.0,0.0,5.0,,3.0
2016,Preseason,1,TB,Cameron Brate,TE,1,2,0,0,0,4,5,0,0,0,0,0,0,0,0,0,0,9,17,PHI,0,0,0.5,0.0,5.0,,1.5
2016,Preseason,1,TB,Kivon Cartwright,TE,1,1,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,9,17,PHI,0,0,1.0,0.0,4.0,,1.4
2016,Preseason,1,TB,Tevin Westbrook,TE,1,1,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,9,17,PHI,0,0,1.0,0.0,4.0,,1.4
2016,Preseason,1,DET,Cole Wick,TE,1,3,0,0,0,1,10,0,0,0,0,0,0,0,0,0,0,30,17,PIT,0,0,0.333333333333,0.0,10.0,,2.0
2016,Preseason,1,PIT,David Johnson,TE,1,1,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,17,30,DET,1,0,1.0,0.0,2.0,,1.2
2016,Preseason,1,PIT,Jesse James,TE,1,2,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,17,30,DET,1,0,0.5,0.0,4.0,,1.4
2016,Preseason,1,HOU,C.J. Fiedorowicz,TE,1,1,0,0,0,10,12,0,0,0,0,0,0,0,0,0,0,24,13,SF,0,0,1.0,0.0,12.0,,2.2
2016,Preseason,1,HOU,Stephen Anderson,TE,1,2,1,0,0,0,7,0,0,0,0,0,0,0,0,0,0,24,13,SF,0,6,0.5,0.25,7.0,,7.7
2016,Preseason,1,SF,Blake Bell,TE,2,3,0,0,0,3,7,0,0,0,0,0,0,0,0,0,0,13,24,HOU,1,0,0.666666666667,0.0,3.5,,2.7
2016,Preseason,1,SF,Garrett Celek,TE,1,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,13,24,HOU,1,0,0.5,0.0,3.0,,1.3
2016,Preseason,1,SF,Vance McDonald,TE,2,2,1,0,0,30,54,0,0,0,0,0,0,0,0,0,0,13,24,HOU,1,6,1.0,0.461538461538,27.0,,13.4
2016,Preseason,1,SD,Hunter Henry,TE,3,4,0,0,0,6,43,0,0,0,0,0,0,0,0,0,0,10,27,TEN,0,0,0.75,0.0,14.3333333333,,7.3
2016,Preseason,1,SD,Jeff Cumberland,TE,1,2,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,10,27,TEN,0,0,0.5,0.0,9.0,,1.9
2016,Preseason,1,SD,Tim Semisch,TE,1,1,0,0,0,15,19,0,0,0,0,0,0,0,0,0,0,10,27,TEN,0,0,1.0,0.0,19.0,,2.9
2016,Preseason,1,TEN,Alex Ellis,TE,1,1,0,0,0,6,10,1,0,0,0,0,0,0,0,0,0,27,10,SD,1,0,1.0,0.0,10.0,,1.0
2016,Preseason,1,TEN,Phillip Supernaw,TE,2,3,0,0,0,6,22,0,0,0,0,0,0,0,0,0,0,27,10,SD,1,0,0.666666666667,0.0,11.0,,4.2
2016,Preseason,1,DAL,Austin Traylor,TE,1,2,0,0,0,2,8,0,0,0,0,0,0,0,0,0,0,24,28,UNK,0,0,0.5,0.0,8.0,,1.8
2016,Preseason,1,DAL,Geoff Swaim,TE,1,3,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,24,28,UNK,0,0,0.333333333333,0.0,10.0,,2.0
2016,Preseason,1,UNK,Lance Kendricks,TE,2,2,0,0,0,4,11,0,0,0,0,0,0,0,0,0,0,28,24,DAL,1,0,1.0,0.0,5.5,,3.1
2016,Preseason,1,UNK,Tyler Higbee,TE,5,6,0,0,0,17,49,0,0,0,0,0,0,0,0,0,0,28,24,DAL,1,0,0.833333333333,0.0,9.8,,9.9
2016,Regular,1,ARI,Jermaine Gresham,TE,4,4,0,0,0,7,41,0,0,0,0,0,0,0,0,0,0,21,23,NE,1,0,1.0,0.0,10.25,,8.1
2016,Regular,1,NE,Martellus Bennett,TE,3,5,0,0,0,7,14,0,0,0,0,0,0,0,0,0,0,23,21,ARI,0,0,0.6,0.0,4.66666666667,,4.4
2016,Regular,1,ATL,Austin Hooper,TE,1,1,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,24,31,TB,1,0,1.0,0.0,14.0,,2.4
2016,Regular,1,ATL,Jacob Tamme,TE,6,8,0,0,0,13,51,0,0,0,0,0,0,0,0,0,0,24,31,TB,1,0,0.75,0.0,8.5,,11.1
2016,Regular,1,TB,Austin Seferian-Jenkins,TE,1,1,1,0,0,0,30,0,0,0,0,0,0,0,0,0,0,31,24,ATL,0,6,1.0,0.193548387097,30.0,,10.0
2016,Regular,1,TB,Brandon Myers,TE,1,1,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,31,24,ATL,0,6,1.0,0.193548387097,4.0,,7.4
2016,Regular,1,TB,Cameron Brate,TE,3,4,0,0,0,16,30,0,0,0,0,0,0,0,0,0,0,31,24,ATL,0,0,0.75,0.0,10.0,,6.0
2016,Regular,1,BAL,Crockett Gillmore,TE,1,1,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,13,7,BUF,1,0,1.0,0.0,5.0,,1.5
2016,Regular,1,BAL,Dennis Pitta,TE,3,4,0,0,0,5,39,0,0,0,0,0,0,0,0,0,0,13,7,BUF,1,0,0.75,0.0,13.0,,6.9
2016,Regular,1,DAL,Geoff Swaim,TE,1,1,0,0,0,2,21,0,0,0,0,0,0,0,0,0,0,19,20,NYG,1,0,1.0,0.0,21.0,,3.1
2016,Regular,1,DAL,Jason Witten,TE,9,14,0,0,0,28,66,0,0,0,0,0,0,0,0,0,0,19,20,NYG,1,0,0.642857142857,0.0,7.33333333333,,15.6
2016,Regular,1,NYG,Larry Donnell,TE,1,2,1,0,0,0,15,0,0,0,0,0,0,0,0,0,0,20,19,DAL,0,6,0.5,0.3,15.0,,8.5
2016,Regular,1,NYG,Will Tye,TE,3,3,0,0,0,5,16,0,0,0,0,0,0,0,0,0,0,20,19,DAL,0,0,1.0,0.0,5.33333333333,,4.6
2016,Regular,1,CAR,Greg Olsen,TE,7,9,0,0,0,27,73,0,0,0,0,0,0,0,0,0,0,20,21,DEN,0,0,0.777777777778,0.0,10.4285714286,,14.3
2016,Regular,1,DEN,Virgil Green,TE,4,5,0,0,0,7,28,0,0,0,0,0,0,0,0,0,0,21,20,CAR,1,0,0.8,0.0,7.0,,6.8
