team,spread,o/u,season_year,week
TEN,6.0,35.5,2009,1
MIA,4.0,44.5,2009,1
KC,13.0,36.5,2009,1
PHI,-3.0,43.5,2009,1
DEN,4.5,41.0,2009,1
MIN,-4.0,39.5,2009,1
JAC,6.0,46.0,2009,1
DET,14.0,49.5,2009,1
DAL,-4.5,39.5,2009,1
SF,5.0,46.0,2009,1
WAS,6.5,37.0,2009,1
STL,7.0,41.0,2009,1
CHI,4.5,47.0,2009,1
NYJ,4.5,45.0,2009,1
BUF,13.0,47.0,2009,1
SD,-10.0,42.5,2009,1
MIN,-10.0,45.0,2009,2
HOU,7.0,41.0,2009,2
CAR,6.5,43.5,2009,2
STL,10.0,37.0,2009,2
ARI,3.5,44.0,2009,2
SEA,1.0,39.0,2009,2
CLE,3.5,39.0,2009,2
NYG,3.0,45.0,2009,2
CIN,9.0,41.5,2009,2
PIT,-3.0,38.0,2009,2
OAK,2.5,40.0,2009,2
NE,-3.5,45.0,2009,2
TB,4.0,41.5,2009,2
BAL,1.5,41.0,2009,2
NO,-2.5,46.0,2009,2
IND,-3.0,41.0,2009,2
TEN,1.5,36.5,2009,3
JAC,4.5,47.0,2009,3
CLE,14.0,38.5,2009,3
WAS,-6.0,39.5,2009,3
GB,-6.0,43.0,2009,3
SF,7.0,39.0,2009,3
ATL,4.5,45.5,2009,3
NO,-6.0,51.0,2009,3
PIT,-3.5,36.5,2009,3
DEN,-2.5,38.0,2009,3
NYG,-5.5,46.0,2009,3
CHI,-1.0,37.5,2009,3
MIA,5.5,45.0,2009,3
IND,3.0,49.0,2009,3
KC,9.0,39.0,2009,3
CAR,9.0,48.5,2009,3
OAK,9.0,42.5,2009,4
TEN,-3.0,42.0,2009,4
BAL,1.5,45.0,2009,4
CIN,-6.0,37.5,2009,4
NYG,-9.0,42.5,2009,4
DET,9.5,42.5,2009,4
TB,9.0,36.5,2009,4
NYJ,7.5,47.0,2009,4
SD,6.0,43.5,2009,4
BUF,1.5,37.5,2009,4
STL,9.0,36.5,2009,4
DAL,-3.0,43.0,2009,4
SEA,10.0,44.0,2009,4
GB,4.5,46.0,2009,4
WAS,5.0,38.0,2009,5
CLE,5.5,42.0,2009,5
CIN,9.5,42.0,2009,5
ATL,1.0,39.5,2009,5
NE,-3.0,41.5,2009,5
HOU,5.5,50.5,2009,5
IND,-3.5,44.0,2009,5
DAL,-7.5,43.5,2009,5
OAK,15.0,38.5,2009,5
PIT,-11.0,44.0,2009,5
MIN,-10.0,40.5,2009,5
TB,15.5,41.5,2009,5
JAC,2.0,44.0,2009,5
