Date, Vis Team, Home Team, Vis Spread, Home Spread, Over Under
9/5/12, Cowboys, Giants,3.5,-3.5,45
9/9/12, Colts, Bears,9.5,-9.5,43.5
9/9/12, Eagles, Browns,-9.5,9.5,43
9/9/12, Bills, Jets,3,-3,38.5
9/9/12, Redskins, Saints,9,-9,50.5
9/9/12, Patriots, Titans,-4.5,4.5,47.5
9/9/12, Jaguars, Vikings,3.5,-3.5,38
9/9/12, Dolphins, Texans,12.5,-12.5,41.5
9/9/12, Rams, Lions,9,-9,45.5
9/9/12, Falcons, Chiefs,-2,2,42.5
9/9/12, 49ers, Packers,5,-5,46
9/9/12, Panthers, Buccaneers,-2.5,2.5,46.5
9/9/12, Seahawks, Cardinals,-2.5,2.5,40.5
9/9/12, Steelers, Broncos,1.5,-1.5,46
9/10/12, Bengals, Ravens,7,-7,41
9/10/12, Chargers, Raiders,1,-1,47
9/13/12, Bears, Packers,5.5,-5.5,51
9/16/12, Buccaneers, Giants,7.5,-7.5,44
9/16/12, Cardinals, Patriots,13.5,-13.5,48
9/16/12, Vikings, Colts,-3,3,45
9/16/12, Saints, Panthers,-2.5,2.5,52
9/16/12, Chiefs, Bills,3.5,-3.5,44.5
9/16/12, Ravens, Eagles,2.5,-2.5,46
9/16/12, Raiders, Dolphins,-1,1,39
9/16/12, Browns, Bengals,7,-7,39.5
9/16/12, Texans, Jaguars,-7,7,41
9/16/12, Cowboys, Seahawks,-3,3,42
9/16/12, Redskins, Rams,-3.5,3.5,43.5
9/16/12, Jets, Steelers,5,-5,42.5
9/16/12, Titans, Chargers,7,-7,43
9/16/12, Lions, 49ers,7,-7,46.5
9/17/12, Broncos, Falcons,3,-3,52
9/20/12, Giants, Panthers,2.5,-2.5,49.5
9/23/12, Rams, Bears,7.5,-7.5,43
9/23/12, Buccaneers, Cowboys,8,-8,45.5
9/23/12, 49ers, Vikings,-6.5,6.5,42.5
9/23/12, Lions, Titans,-3.5,3.5,47.5
9/23/12, Bengals, Redskins,3,-3,49.5
9/23/12, Jets, Dolphins,-1,1,41
9/23/12, Chiefs, Saints,9,-9,52.5
9/23/12, Bills, Browns,-3,3,44.5
9/23/12, Eagles, Cardinals,-3,3,42
9/23/12, Falcons, Chargers,3,-3,47.5
9/23/12, Texans, Broncos,-1.5,1.5,44.5
9/23/12, Steelers, Raiders,-4,4,45.5
9/23/12, Patriots, Ravens,2.5,-2.5,49.5
