Date, Vis Team, Home Team, Vis Spread, Home Spread, Over Under
2016-08-07, Packers, Colts, +3.0, -3.0, +34.5
2016-08-11, Redskins, Falcons, +3.0, -3.0, +37.0
2016-08-11, Buccaneers, Eagles, +3.0, -3.0, +37.0
2016-08-11, Jaguars, Jets, +3.0, -3.0, +36.5
2016-08-11, Panthers, Ravens, -1.0, +1.0, +36.5
2016-08-11, Saints, Patriots, +3.0, -3.0, +38.0
2016-08-11, Broncos, Bears, +1.0, -1.0, +36.0
2016-08-12, Dolphins, Giants, +2.5, -2.5, +36.5
2016-08-12, Lions, Steelers, +3.0, -3.0, +36.0
2016-08-12, Vikings, Bengals, +1.5, -1.5, +35.0
2016-08-12, Raiders, Cardinals, +2.5, -2.5, +37.5
2016-08-12, Browns, Packers, -0.0, +0.0, +35.0
2016-08-13, Seahawks, Chiefs, +3.5, -3.5, +36.5
2016-08-13, Cowboys, Rams, +5.5, -5.5, +36.0
2016-08-13, Chargers, Titans, +2.5, -2.5, +36.5
2016-08-13, Colts, Bills, +2.5, -2.5, +37.0
2016-08-14, Texans, 49ers, +3.0, -3.0, +38.5
2016-08-18, Eagles, Steelers, +2.5, -2.5, +38.5
2016-08-18, Bengals, Lions, +1.5, -1.5, +41.0
2016-08-18, Raiders, Packers, +3.0, -3.0, +43.0
2016-08-18, Bears, Patriots, +3.0, -3.0, +41.5
2016-08-18, Falcons, Browns, +1.5, -1.5, +38.5
2016-08-18, Vikings, Seahawks, +2.5, -2.5, +39.0
2016-08-19, Jets, Redskins, +3.5, -3.5, +39.5
2016-08-19, Dolphins, Cowboys, -0.0, +0.0, +41.0
2016-08-19, Cardinals, Chargers, -1.0, +1.0, +40.0
2016-08-20, Panthers, Titans, -1.0, +1.0, +40.0
2016-08-20, Giants, Bills, +3.0, -3.0, +40.5
2016-08-20, Ravens, Colts, +2.5, -2.5, +39.5
2016-08-20, Buccaneers, Jaguars, +3.0, -3.0, +40.5
2016-08-20, Saints, Texans, +1.0, -1.0, +41.5
2016-08-20, 49ers, Broncos, +6.5, -6.5, +39.5
2016-08-20, Chiefs, Rams, -1.0, +1.0, +39.5
2016-08-25, Falcons, Dolphins, +1.0, -1.0, +41.5
2016-08-25, Cowboys, Seahawks, +5.5, -5.5, +43.0
2016-08-26, Patriots, Panthers, +3.0, -3.0, +44.5
2016-08-26, Browns, Buccaneers, +3.5, -3.5, +42.5
2016-08-26, Steelers, Saints, +3.0, -3.0, +45.0
2016-08-26, Packers, 49ers, +2.0, -2.0, +44.0
2016-08-26, Bills, Redskins, +3.0, -3.0, +42.5
2016-08-27, Chiefs, Bears, -2.5, +2.5, +41.0
2016-08-27, Eagles, Colts, +1.5, -1.5, +44.0
2016-08-27, Lions, Ravens, +2.5, -2.5, +42.0
2016-08-27, Giants, Jets, -1.0, +1.0, +42.5
2016-08-27, Titans, Raiders, +3.0, -3.0, +41.0
2016-08-27, Rams, Broncos, +5.5, -5.5, +41.5
2016-08-28, Chargers, Vikings, +6.0, -6.0, +40.5
2016-08-28, Cardinals, Texans, -0.0, +0.0, +40.0
2016-08-28, Bengals, Jaguars, +2.0, -2.0, +42.5
2016-08-31, Redskins, Buccaneers, +3.0, -3.0, +36.0
2016-09-01, Redskins, Buccaneers, +3.0, -3.0, +38.5
2016-09-01, Jets, Eagles, +3.5, -3.5, +37.0
2016-09-01, Jaguars, Falcons, +3.5, -3.5, +38.0
2016-09-01, Titans, Dolphins, +2.5, -2.5, +37.5
2016-09-01, Patriots, Giants, -2.0, +2.0, +38.0
2016-09-01, Bills, Lions, +3.0, -3.0, +37.5
2016-09-01, Colts, Bengals, +3.0, -3.0, +38.0
2016-09-01, Steelers, Panthers, +4.0, -4.0, +37.0
2016-09-01, Packers, Chiefs, +4.0, -4.0, +37.0
2016-09-01, Ravens, Saints, +4.5, -4.5, +40.0
2016-09-01, Texans, Cowboys, -3.0, +3.0, +37.0
2016-09-01, Bears, Browns, +6.0, -6.0, +37.0
2016-09-01, Rams, Vikings, +1.0, -1.0, +35.5
2016-09-01, Broncos, Cardinals, +4.0, -4.0, +37.5
2016-09-01, 49ers, Chargers, +1.0, -1.0, +38.5
2016-09-01, Seahawks, Raiders, +2.0, -2.0, +38.0
2016-09-08, Panthers, Broncos, -3.0, +3.0, +41.0
2016-09-11, Buccaneers, Falcons, +2.5, -2.5, +46.0
2016-09-11, Vikings, Titans, -3.0, +3.0, +40.5
2016-09-11, Browns, Eagles, +4.0, -4.0, +41.5
2016-09-11, Bengals, Jets, -1.5, +1.5, +41.5
2016-09-11, Raiders, Saints, +2.5, -2.5, +50.0
2016-09-11, Chargers, Chiefs, +6.0, -6.0, +45.5
2016-09-11, Bills, Ravens, +3.0, -3.0, +44.0
2016-09-11, Bears, Texans, +4.5, -4.5, +42.5
2016-09-11, Packers, Jaguars, -4.0, +4.0, +47.0
2016-09-11, Dolphins, Seahawks, +11.0, -11.0, +43.5
2016-09-11, Giants, Cowboys, -1.0, +1.0, +47.5
2016-09-11, Lions, Colts, +3.0, -3.0, +51.0
2016-09-11, Patriots, Cardinals, +9.5, -9.5, +44.5
2016-09-12, Steelers, Redskins, -2.0, +2.0, +49.0
2016-09-12, Rams, 49ers, -3.0, +3.0, +43.0
