,player,salary,team,position,opp,ceiling,floor,proj_points
0,Jared Goff,5000,LAR,QB,MIA,18.487,9.313,13.9
1,Tom Brady,7800,NEP,QB,SFO,29.0482,18.5718,23.81
2,Ryan Tannehill,5100,MIA,QB,LAR,20.55,12.33,16.44
3,Alex Smith,5300,KCC,QB,TBB,20.7081,10.4319,15.57
4,Andy Dalton,5700,CIN,QB,BUF,23.814,13.986,18.9
5,Jameis Winston,5900,TBB,QB,KCC,23.733,11.427,17.58
6,Colin Kaepernick,5200,SFO,QB,NEP,24.4055,12.2945,18.35
7,Carson Wentz,5000,PHI,QB,SEA,18.1662,8.3538,13.26
8,Brock Osweiler,5100,HOU,QB,OAK,18.4536,9.5064,13.98
9,Derek Carr,6400,OAK,QB,HOU,24.095,15.405,19.75
10,Kirk Cousins,5800,WAS,QB,GBP,22.5828,14.1372,18.36
11,Aaron Rodgers,7600,GBP,QB,WAS,26.688,17.792,22.24
12,Russell Wilson,6100,SEA,QB,PHI,24.8583,13.6817,19.27
13,Tyrod Taylor,5600,BUF,QB,CIN,20.7805,15.3595,18.07
14,Cody Kessler,5000,CLE,QB,PIT,18.9878,9.3522,14.17
15,Jay Cutler,5200,CHI,QB,NYG,20.6145,9.9255,15.27
16,Eli Manning,6300,NYG,QB,CHI,23.8464,13.4136,18.63
17,Dak Prescott,6000,DAL,QB,BAL,22.9235,13.1765,18.05
18,Joe Flacco,5500,BAL,QB,DAL,21.4011,11.7789,16.59
19,Drew Brees,7600,NOS,QB,CAR,27.6,16.56,22.08
20,Cam Newton,7900,CAR,QB,NOS,29.0717,19.7883,24.43
21,Blake Bortles,5400,JAC,QB,DET,24.6784,13.8816,19.28
22,Matthew Stafford,6600,DET,QB,JAC,23.4982,15.3418,19.42
23,Sam Bradford,5100,MIN,QB,ARI,17.7386,11.5814,14.66
24,Ben Roethlisberger,7500,PIT,QB,CLE,26.2386,14.4414,20.34
25,Carson Palmer,5600,ARI,QB,MIN,21.3375,12.8025,17.07
26,Andrew Luck,7200,IND,QB,TEN,29.125,17.475,23.3
27,Marcus Mariota,6700,TEN,QB,IND,26.1877,13.1923,19.69
28,player,salary,team,pos,opp,ceil,floor,fpts
