,player,salary,team,position,opp,ceiling,floor,proj_points
0,Jay Ajayi,7000,MIA,RB,SDC,26.3232,10.2368,18.28
1,Damien Williams,3900,MIA,RB,SDC,7.1504,1.5696,4.36
2,Antonio Andrews,3000,TEN,RB,GBP,4.118,1.682,2.9
3,Melvin Gordon,7100,SDC,RB,MIA,28.684,11.716,20.2
4,Kenneth Farrow,3700,SDC,RB,MIA,7.553,0.747,4.15
5,Shaun Draughn,3400,SFO,RB,ARI,11.248,0.912,6.08
6,Carlos Hyde,5500,SFO,RB,ARI,17.8619,8.9981,13.43
7,DeMarco Murray,6900,TEN,RB,GBP,27.406,11.194,19.3
8,Aaron Ripkowski,3000,GBP,RB,TEN,3.9105,0.8295,2.37
9,Chris Thompson,4000,WAS,RB,MIN,12.2551,4.8849,8.57
10,Robert Kelley,3000,WAS,RB,MIN,13.2756,4.6644,8.97
11,Ryan Grant,3000,WAS,WR,MIN,3.28,0,1.64
12,Jerick McKinnon,3800,MIN,RB,WAS,16.848,3.952,10.4
13,Don Jackson,3000,GBP,RB,TEN,6.2976,0.2624,3.28
14,Matt Jones,3800,WAS,RB,MIN,15.21,0.39,7.8
15,David Johnson,8400,ARI,RB,SFO,35.564,16.736,26.15
16,Andre Ellington,3500,ARI,RB,SFO,7.3164,0.7236,4.02
17,Jeremy Hill,4400,CIN,RB,NYG,14.8,5.2,10
18,James White,4500,NEP,RB,SEA,15.9512,4.3688,10.16
19,Giovani Bernard,4600,CIN,RB,NYG,15.8664,8.1736,12.02
20,Rashad Jennings,3600,NYG,RB,CIN,14.13,4.71,9.42
21,Bobby Rainey,3000,NYG,RB,CIN,8.64,0,4.32
22,Paul Perkins,3500,NYG,RB,CIN,5.2164,1.2236,3.22
23,LeGarrette Blount,4900,NEP,RB,SEA,15.5172,7.6428,11.58
24,C.J. Prosise,3900,SEA,RB,NEP,10.4016,0.1584,5.28
25,Ezekiel Elliott,7900,DAL,RB,PIT,31.0635,14.9565,23.01
26,DuJuan Harris,4100,SFO,RB,ARI,9.936,1.104,5.52
27,Alfred Morris,4900,DAL,RB,PIT,6.0489,2.5311,4.29
28,Le'Veon Bell,7700,PIT,RB,DAL,30.6458,15.0942,22.87
29,Christine Michael,5900,SEA,RB,NEP,16.5324,7.4276,11.98
30,DeAngelo Williams,5100,PIT,RB,DAL,5.9808,1.1392,3.56
31,Ronnie Hillman,3500,MIN,RB,WAS,8.2992,0.8208,4.56
32,Matt Asiata,3800,MIN,RB,WAS,13.0707,5.4693,9.27
33,Mark Ingram,5400,NOS,RB,DEN,14.6124,7.5276,11.07
34,Kapri Bibbs,4000,DEN,RB,NOS,12.168,3.432,7.8
35,Devontae Booker,7000,DEN,RB,NOS,21.0256,9.8944,15.46
36,Travaris Cadet,3000,NOS,RB,DEN,4.752,1.848,3.3
37,Tim Hightower,4600,NOS,RB,DEN,16.4106,3.8494,10.13
38,Alfred Blue,4800,HOU,RB,JAC,4.0824,0.9576,2.52
39,Lamar Miller,6400,HOU,RB,JAC,24.4404,9.0396,16.74
40,Darren Sproles,4300,PHI,RB,ATL,19.334,8.286,13.81
41,Ryan Mathews,3700,PHI,RB,ATL,11.5588,4.7212,8.14
42,Duke Johnson,4000,CLE,RB,BAL,13.8546,7.6254,10.74
43,Isaiah Crowell,4200,CLE,RB,BAL,14.1906,6.9894,10.59
44,Terrance West,5700,BAL,RB,CLE,18.2736,7.1064,12.69
45,Kenneth Dixon,3900,BAL,RB,CLE,10.0654,6.9946,8.53
46,Terron Ward,3500,ATL,RB,PHI,8.3916,1.9684,5.18
47,Devonta Freeman,6800,ATL,RB,PHI,19.8569,10.0031,14.93
48,Jonathan Grimes,3000,HOU,RB,JAC,4.8503,0.8897,2.87
49,T.J. Yeldon,3700,JAC,RB,HOU,12.4875,6.0125,9.25
50,Jordan Howard,6000,CHI,RB,TBB,19.872,8.928,14.4
51,Fozzy Whittaker,3200,CAR,RB,KCC,3.567,1.353,2.46
52,Ka'Deem Carey,3700,CHI,RB,TBB,3.5916,1.3284,2.46
53,Mike James,3300,TBB,RB,CHI,5.28,0,2.64
54,Jeremy Langford,3700,CHI,RB,TBB,7.9716,0.7884,4.38
55,Peyton Barber,3900,TBB,RB,CHI,15.7092,4.4308,10.07
56,Jonathan Stewart,4900,CAR,RB,KCC,17.5122,7.8678,12.69
57,Charcandrick West,5200,KCC,RB,CAR,7.2432,2.8168,5.03
58,Todd Gurley,5300,LAR,RB,NYJ,20.863,6.057,13.46
59,Chris Ivory,3400,JAC,RB,HOU,11.523,5.177,8.35
60,Benny Cunningham,3700,LAR,RB,NYJ,3.4717,1.1883,2.33
61,Matt Forte,6100,NYJ,RB,LAR,24.017,8.883,16.45
62,Spencer Ware,6700,KCC,RB,CAR,22.126,7.774,14.95
63,Bilal Powell,5000,NYJ,RB,LAR,12.9636,3.6564,8.31
64,player,salary,team,pos,opp,ceil,floor,fpts
