,player,salary,team,position,opp,ceiling,floor,proj_points
0,Lance Kendricks,3000,LAR,TE,MIA,13.1648,6.1952,9.68
1,Dominique Jones,2500,MIA,TE,LAR,5.96,0,2.98
2,Tyler Higbee,2500,LAR,TE,MIA,3.06,0,1.53
3,Martellus Bennett,3700,NEP,TE,SFO,21.4416,8.3384,14.89
4,Vance McDonald,2700,SFO,TE,NEP,12.9525,3.5475,8.25
5,MarQueis Gray,2500,MIA,TE,LAR,9.1443,2.0757,5.61
6,Demetrius Harris,2500,KCC,TE,TBB,4.64,0,2.32
7,Tyler Eifert,5400,CIN,TE,BUF,21.5414,8.7986,15.17
8,Tyler Kroft,2500,CIN,TE,BUF,4.42,0,2.21
9,Cameron Brate,3800,TBB,TE,KCC,13.1918,5.3882,9.29
10,Travis Kelce,4700,KCC,TE,TBB,20.097,7.623,13.86
11,Garrett Celek,2600,SFO,TE,NEP,6.0092,1.2308,3.62
12,Zach Ertz,3200,PHI,TE,SEA,12.9324,3.6476,8.29
13,C.J. Fiedorowicz,3300,HOU,TE,OAK,16.5004,6.7396,11.62
14,Stephen Anderson,2500,HOU,TE,OAK,6.82,0,3.41
15,Ryan Griffin,2500,HOU,TE,OAK,10.5865,3.0735,6.83
16,Clive Walford,2500,OAK,TE,HOU,10.065,3.355,6.71
17,Mychal Rivera,2500,OAK,TE,HOU,5.4,0,2.7
18,Jared Cook,2500,GBP,TE,WAS,9.7811,2.6789,6.23
19,Vernon Davis,2800,WAS,TE,GBP,10.1924,2.0876,6.14
20,Trey Burton,2500,PHI,TE,SEA,4.52,0,2.26
21,Jimmy Graham,5600,SEA,TE,PHI,19.8468,6.9732,13.41
22,Richard Rodgers,2700,GBP,TE,WAS,9.9665,2.8935,6.43
23,Jordan Reed,5900,WAS,TE,GBP,25.16,11.84,18.5
24,Nick O'Leary,2500,BUF,TE,CIN,5.72,0,2.86
25,Charles Clay,2600,BUF,TE,CIN,10.7636,4.3964,7.58
26,Zach Miller,3800,CHI,TE,NYG,16.2769,7.1431,11.71
27,Gavin Escobar,2500,DAL,TE,BAL,3.92,0,1.96
28,Larry Donnell,2500,NYG,TE,CHI,7.161,2.079,4.62
29,Will Tye,2700,NYG,TE,CHI,12.5028,4.0572,8.28
30,Julius Thomas,3500,JAC,TE,DET,18.0588,6.1812,12.12
31,Jason Witten,3300,DAL,TE,BAL,13.6911,5.7289,9.71
32,Dennis Pitta,3600,BAL,TE,DAL,14.7244,7.7556,11.24
33,Coby Fleener,3400,NOS,TE,CAR,17.3376,2.8224,10.08
34,Josh Hill,2700,NOS,TE,CAR,5.1688,0.5112,2.84
35,Greg Olsen,6500,CAR,TE,NOS,28.1348,9.8852,19.01
36,Ed Dickson,2500,CAR,TE,NOS,3.3966,1.0434,2.22
37,Marcedes Lewis,2500,JAC,TE,DET,6.586,0.814,3.7
38,Eric Ebron,4100,DET,TE,JAC,19.1763,7.6437,13.41
39,Rhett Ellison,2500,MIN,TE,ARI,3.24,0,1.62
40,Kyle Rudolph,3900,MIN,TE,ARI,17.3666,7.0934,12.23
41,Jesse James,3400,PIT,TE,CLE,9.044,2.856,5.95
42,Ladarius Green,2500,PIT,TE,CLE,11.252,4.268,7.76
43,Gary Barnidge,3100,CLE,TE,PIT,14.2272,4.0128,9.12
44,Darren Fells,2500,ARI,TE,MIN,5.52,0,2.76
45,Jermaine Gresham,2500,ARI,TE,MIN,4.44,0,2.22
46,Delanie Walker,5700,TEN,TE,IND,20.4886,8.9914,14.74
47,Anthony Fasano,2500,TEN,TE,IND,3.94,0,1.97
48,Jack Doyle,3300,IND,TE,TEN,13.9122,7.3278,10.62
49,Dwayne Allen,2900,IND,TE,TEN,10.349,5.451,7.9
50,player,salary,team,pos,opp,ceil,floor,fpts
