,player,salary,team,position,opp,ceiling,floor,proj_points
0,Kenny Britt,4400,LAR,WR,CAR,16.2944,9.1656,12.73
1,Tavon Austin,4200,LAR,WR,CAR,15.9573,8.7827,12.37
2,Philly Brown,3100,CAR,WR,LAR,9.1464,3.2136,6.18
3,Devin Funchess,3400,CAR,WR,LAR,9.0072,3.9528,6.48
4,Ted Ginn,3900,CAR,WR,LAR,,,6.8
5,Brian Quick,3400,LAR,WR,CAR,11.8818,6.9782,9.43
6,Bradley Marquez,3000,LAR,WR,CAR,,,1.5
7,Harry Douglas,3000,TEN,WR,SDC,6.2937,0.3663,3.33
8,Travis Benjamin,5600,SDC,WR,TEN,22.0106,4.3494,13.18
9,Kendall Wright,4400,TEN,WR,SDC,14.992,3.748,9.37
10,Tajae Sharpe,3000,TEN,WR,SDC,8.1366,3.3234,5.73
11,Rishard Matthews,3800,TEN,WR,SDC,13.3906,5.4694,9.43
12,Kelvin Benjamin,6800,CAR,WR,LAR,20.9308,10.3092,15.62
13,Rod Streater,3000,SFO,WR,NOS,2.7472,1.2928,2.02
14,Eli Rogers,3200,PIT,WR,BAL,10.4468,2.2932,6.37
15,Brandin Cooks,7500,NOS,WR,SFO,21.9375,10.5625,16.25
16,Breshad Perriman,3300,BAL,WR,PIT,9.831,3.729,6.78
17,Kamar Aiken,3500,BAL,WR,PIT,5.8756,2.0644,3.97
18,Steve Smith,5400,BAL,WR,PIT,18.8094,8.4506,13.63
19,Willie Snead,5800,NOS,WR,SFO,21.4336,10.0864,15.76
20,Michael Thomas,5500,NOS,WR,SFO,20.3742,11.9658,16.17
21,Jeremy Kerley,4000,SFO,WR,NOS,12.8372,6.3228,9.58
22,Quinton Patton,3000,SFO,WR,NOS,10.16,5.84,8
23,Torrey Smith,4100,SFO,WR,NOS,13.7852,5.4948,9.64
24,Brandon Coleman,3000,NOS,WR,SFO,9.0666,4.0734,6.57
25,Dontrelle Inman,3100,SDC,WR,TEN,12.6516,3.5684,8.11
26,Tyrell Williams,5000,SDC,WR,TEN,20.3679,5.2521,12.81
27,Andre Holmes,3000,OAK,WR,DEN,4.8509,0.5691,2.71
28,Robert Woods,3700,BUF,WR,SEA,15.4638,6.3162,10.89
29,Seth Roberts,3000,OAK,WR,DEN,10.3292,6.3308,8.33
30,Michael Crabtree,6400,OAK,WR,DEN,19.6131,8.2069,13.91
31,Amari Cooper,7700,OAK,WR,DEN,19.7417,10.3983,15.07
32,Justin Hunter,3000,BUF,WR,SEA,6.5475,3.1525,4.85
33,Walter Powell,3000,BUF,WR,SEA,5.4648,2.8152,4.14
34,Tyler Lockett,3800,SEA,WR,BUF,9.2778,3.8822,6.58
35,Paul Richardson,3000,SEA,WR,BUF,5.2375,3.1425,4.19
36,Jermaine Kearse,3100,SEA,WR,BUF,8.733,5.467,7.1
37,Doug Baldwin,6200,SEA,WR,BUF,20.4815,9.4185,14.95
38,Marquise Goodwin,3300,BUF,WR,SEA,15.8752,3.4848,9.68
39,Jordan Norwood,3000,DEN,WR,OAK,5.8225,2.6775,4.25
40,Bennie Fowler,3000,DEN,WR,OAK,4.7334,1.1466,2.94
41,Devin Street,3000,IND,WR,GBP,,,1.4
42,Ty Montgomery,5800,GBP,WR,IND,21.3284,8.7116,15.02
43,Phillip Dorsett,3700,IND,WR,GBP,9.3023,4.2777,6.79
44,Donte Moncrief,5800,IND,WR,GBP,18.4522,5.9878,12.22
45,T.Y. Hilton,7600,IND,WR,GBP,23.3244,12.0156,17.67
46,Randall Cobb,6600,GBP,WR,IND,21.5568,8.3832,14.97
47,Davante Adams,5900,GBP,WR,IND,21.646,9.954,15.8
48,Emmanuel Sanders,6300,DEN,WR,OAK,20.7264,11.9136,16.32
49,Demaryius Thomas,6000,DEN,WR,OAK,19.5507,13.8693,16.71
50,Jeff Janis,3300,GBP,WR,IND,11.46,0,5.73
51,Jordy Nelson,7800,GBP,WR,IND,25.632,9.968,17.8
52,Mike Wallace,5600,BAL,WR,PIT,20.9815,7.9585,14.47
53,Darrius Heyward-Bey,3000,PIT,WR,BAL,9.282,3.978,6.63
54,Corey Coleman,4500,CLE,WR,DAL,,,9.96
55,Brandon Marshall,7300,NYJ,WR,MIA,22.078,11.122,16.6
56,Rashard Higgins,3000,CLE,WR,DAL,2.4804,0.6996,1.59
57,Ricardo Louis,3000,CLE,WR,DAL,9.028,3.172,6.1
58,Andrew Hawkins,3200,CLE,WR,DAL,10.5393,5.8007,8.17
59,Quincy Enunwa,5100,NYJ,WR,MIA,17.5418,7.6982,12.62
60,Charone Peake,3000,NYJ,WR,MIA,6.204,2.596,4.4
61,Kenny Stills,3900,MIA,WR,NYJ,16.512,2.688,9.6
62,Leonte Carroo,3000,MIA,WR,NYJ,2.9747,0.9653,1.97
63,DeVante Parker,4800,MIA,WR,NYJ,18.444,2.756,10.6
64,Jarvis Landry,7100,MIA,WR,NYJ,21.7107,11.9493,16.83
65,Robby Anderson,3000,NYJ,WR,MIA,8.0696,4.2504,6.16
66,Terrelle Pryor,6100,CLE,WR,DAL,25.1065,8.5935,16.85
67,Brice Butler,3800,DAL,WR,CLE,4.234,1.566,2.9
