,season_year,season_type,week,home_team,home_score,away_team,away_score,team,forced_fumble,fg_block,fumble_rec,fumble_rec_tds,kicking_rec_tds,kickret_tds,puntret_tds,puntret_tds,ints,int_tds,misc_tds,punt_block,safety,sack,xp_block
0,2016,Preseason,1,GB,17,CLE,11,GB,0,0,1,0,0,0,0,0,1,0,0,0,2,4.0,0
1,2016,Regular,1,ATL,24,TB,31,ATL,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0
2,2016,Preseason,1,CHI,0,DEN,22,DEN,1,0,0,0,0,0,0,0,1,0,1,1,1,7.0,0
3,2016,Preseason,1,UNK,28,DAL,24,DAL,0,0,0,0,0,1,0,0,2,0,0,0,0,1.0,0
4,2016,Preseason,1,PIT,17,DET,30,PIT,3,0,1,0,0,0,0,0,1,1,0,0,0,1.0,0
5,2016,Regular,1,WAS,16,PIT,38,WAS,1,0,0,0,0,0,0,0,1,0,0,0,0,1.0,0
6,2016,Preseason,1,KC,16,SEA,17,KC,0,0,0,0,0,0,0,0,1,0,0,0,0,2.0,0
7,2016,Preseason,1,BUF,18,IND,19,IND,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0
8,2016,Preseason,1,PHI,17,TB,9,TB,1,0,0,0,0,0,0,0,1,0,0,0,0,4.0,0
9,2016,Regular,1,PHI,29,CLE,10,PHI,1,0,0,0,0,0,0,0,1,0,0,0,0,3.0,0
10,2016,Preseason,1,TEN,27,SD,10,TEN,1,0,0,0,0,0,0,0,2,0,0,0,0,2.0,0
11,2016,Preseason,1,GB,17,CLE,11,CLE,0,0,0,0,0,0,0,0,1,0,0,0,1,2.0,0
12,2016,Regular,1,DAL,19,NYG,20,NYG,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0
13,2016,Regular,1,ARI,21,NE,23,ARI,2,0,2,0,0,0,0,0,0,0,0,0,0,2.0,0
14,2016,Preseason,1,SF,13,HOU,24,SF,1,0,0,0,0,0,0,0,0,0,0,0,0,3.0,0
15,2016,Regular,1,KC,33,SD,27,SD,0,0,0,0,0,0,0,0,1,0,0,0,0,3.0,0
16,2016,Regular,1,JAC,23,GB,27,GB,1,0,0,0,0,0,0,0,1,0,0,0,0,3.0,0
17,2016,Regular,1,HOU,23,CHI,14,HOU,1,0,0,0,0,0,0,0,1,0,0,0,0,5.0,0
18,2016,Regular,1,BAL,13,BUF,7,BAL,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0
19,2016,Regular,1,JAC,23,GB,27,JAC,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0
20,2016,Preseason,1,ATL,23,WAS,17,ATL,1,0,0,0,0,1,0,0,0,0,0,0,0,3.0,0
21,2016,Regular,1,IND,35,DET,39,DET,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0
22,2016,Regular,1,TEN,16,MIN,25,MIN,1,0,2,1,0,0,0,0,1,1,0,0,0,2.0,0
23,2016,Preseason,1,UNK,28,DAL,24,UNK,1,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0
24,2016,Regular,1,HOU,23,CHI,14,CHI,1,0,0,0,0,0,0,0,1,0,0,0,0,2.0,0
25,2016,Regular,1,NYJ,22,CIN,23,NYJ,0,0,0,0,0,0,0,0,1,0,0,0,0,7.0,0
26,2016,Preseason,1,SF,13,HOU,24,HOU,1,0,2,1,0,0,0,0,0,0,0,0,0,1.0,0
27,2016,Regular,1,SEA,12,MIA,10,MIA,0,0,1,0,0,0,0,0,1,0,0,0,0,3.0,1
28,2016,Regular,1,NYJ,22,CIN,23,CIN,0,1,0,0,0,0,0,0,1,0,0,0,0,1.0,0
29,2016,Regular,1,TEN,16,MIN,25,TEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0
30,2016,Preseason,1,NE,34,NO,22,NO,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0
31,2016,Regular,1,NO,34,OAK,35,OAK,2,0,1,0,0,0,0,0,0,0,0,0,0,1.0,0
32,2016,Preseason,1,NYJ,17,JAC,13,JAC,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,0
33,2016,Regular,1,KC,33,SD,27,KC,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0
34,2016,Preseason,1,BAL,22,CAR,19,CAR,1,0,2,0,0,0,0,0,1,0,0,0,0,1.0,0
35,2016,Regular,1,ARI,21,NE,23,NE,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,0
36,2016,Preseason,1,NYG,10,MIA,27,NYG,1,0,0,0,0,0,0,0,1,0,0,0,0,4.0,0
37,2016,Preseason,1,ATL,23,WAS,17,WAS,1,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0
38,2016,Regular,1,IND,35,DET,39,IND,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0
39,2016,Preseason,1,PIT,17,DET,30,DET,3,0,1,0,0,1,0,0,0,0,0,0,0,4.0,0
40,2016,Regular,1,SF,28,LA,0,SF,0,0,0,0,0,0,0,0,2,0,0,0,0,2.0,0
41,2016,Preseason,1,TEN,27,SD,10,SD,2,0,1,0,0,0,0,0,0,0,0,0,0,3.0,0
42,2016,Regular,1,PHI,29,CLE,10,CLE,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0
43,2016,Regular,1,DAL,19,NYG,20,DAL,1,0,0,0,0,0,0,0,1,0,0,0,0,2.0,0
44,2016,Preseason,1,CIN,16,MIN,17,MIN,0,0,0,0,0,0,0,0,2,0,0,0,0,2.0,0
45,2016,Preseason,1,PHI,17,TB,9,PHI,3,0,2,0,0,0,0,0,3,0,0,0,0,3.0,0
46,2016,Regular,1,SF,28,LA,0,LA,2,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0
47,2016,Preseason,1,NE,34,NO,22,NE,3,0,2,1,0,0,0,0,2,1,0,0,0,2.0,0
48,2016,Preseason,1,ARI,10,OAK,31,OAK,1,0,1,0,0,0,0,0,2,0,0,0,0,1.0,0
49,2016,Regular,1,ATL,24,TB,31,TB,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,0
50,2016,Preseason,1,CIN,16,MIN,17,CIN,0,0,0,0,0,0,1,1,1,0,0,0,0,1.0,0
51,2016,Regular,1,DEN,21,CAR,20,CAR,1,0,1,0,0,0,0,0,2,0,0,0,0,2.0,0
52,2016,Regular,1,NO,34,OAK,35,NO,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0
53,2016,Regular,1,DEN,21,CAR,20,DEN,0,0,0,0,0,0,0,0,1,0,0,0,0,3.0,0
54,2016,Preseason,1,KC,16,SEA,17,SEA,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0
55,2016,Regular,1,BAL,13,BUF,7,BUF,0,0,1,0,0,0,0,0,0,0,0,0,0,4.0,0
56,2016,Preseason,1,BAL,22,CAR,19,BAL,1,0,2,0,0,0,0,0,0,0,0,0,0,3.0,0
57,2016,Preseason,1,ARI,10,OAK,31,ARI,2,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0
58,2016,Preseason,1,CHI,0,DEN,22,CHI,0,1,0,0,0,0,0,0,1,0,0,0,0,3.0,0
59,2016,Preseason,1,NYJ,17,JAC,13,NYJ,0,0,0,0,0,0,0,0,1,0,0,0,0,3.0,0
60,2016,Preseason,1,NYG,10,MIA,27,MIA,3,0,2,0,0,0,0,0,2,0,0,0,0,4.0,0
61,2016,Regular,1,SEA,12,MIA,10,SEA,1,1,0,0,0,0,0,0,0,0,0,0,0,4.0,0
62,2016,Regular,1,WAS,16,PIT,38,PIT,1,0,0,0,0,0,0,0,2,0,0,0,0,0.0,0
63,2016,Preseason,1,BUF,18,IND,19,BUF,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0
64,2016,Regular,2,CHI,14,PHI,29,PHI,2,0,2,0,0,0,0,0,1,0,0,0,0,3.0,0
65,2016,Regular,2,CHI,14,PHI,29,CHI,0,0,0,0,0,0,1,1,0,0,0,0,0,2.0,0
66,2016,Preseason,2,BUF,21,NYG,0,NYG,1,0,1,0,0,0,0,0,1,0,0,0,0,3.0,0
67,2016,Regular,2,CLE,20,BAL,25,CLE,0,0,0,0,0,0,0,0,2,0,0,0,0,0.0,0
68,2016,Preseason,2,SEA,11,MIN,18,SEA,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0
69,2016,Regular,2,HOU,19,KC,12,HOU,2,0,3,0,0,0,0,0,0,0,0,0,0,4.0,0
70,2016,Regular,2,HOU,19,KC,12,KC,0,0,0,0,0,0,0,0,2,0,0,0,0,2.0,0
71,2016,Regular,2,SD,38,JAC,14,SD,1,0,1,0,0,0,0,0,2,0,0,0,0,2.0,0
72,2016,Preseason,2,JAC,21,TB,27,JAC,1,0,0,0,0,0,0,0,2,1,0,0,0,1.0,0
73,2016,Regular,2,ARI,40,TB,7,ARI,0,0,1,0,0,0,0,0,4,1,0,0,0,2.0,0
74,2016,Preseason,2,PIT,0,PHI,17,PIT,1,0,1,0,0,0,0,0,0,0,0,0,0,1.0,0
75,2016,Regular,2,MIN,17,GB,14,MIN,4,0,2,0,0,0,0,0,1,0,0,0,0,5.0,0
76,2016,Preseason,2,IND,18,BAL,19,IND,0,0,0,0,0,0,0,0,1,0,0,0,0,1.0,0
77,2016,Regular,2,NE,31,MIA,24,MIA,3,0,1,0,0,0,0,0,0,0,0,0,0,2.0,0
78,2016,Preseason,2,DAL,41,MIA,14,MIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0
79,2016,Regular,2,BUF,31,NYJ,37,BUF,2,0,1,1,0,0,0,0,0,0,0,0,0,1.0,0
80,2016,Preseason,2,IND,18,BAL,19,BAL,1,0,1,0,0,0,0,0,0,0,0,0,0,2.0,0
81,2016,Regular,2,CLE,20,BAL,25,BAL,1,0,0,0,0,0,0,0,2,0,0,0,0,3.0,1
82,2016,Regular,2,WAS,23,DAL,27,DAL,0,0,0,0,0,0,0,0,1,0,0,0,0,2.0,0
83,2016,Regular,2,LA,9,SEA,3,LA,2,0,2,0,0,0,0,0,0,0,0,0,0,2.0,0
84,2016,Regular,2,PIT,24,CIN,16,PIT,1,0,2,0,0,0,0,0,0,0,0,0,0,1.0,0
85,2016,Preseason,2,GB,20,OAK,12,OAK,0,0,0,0,0,0,0,0,0,0,1,1,0,3.0,0
86,2016,Regular,2,NE,31,MIA,24,NE,2,0,2,0,0,0,0,0,2,0,0,0,0,0.0,0
87,2016,Preseason,2,UNK,21,KC,20,UNK,2,0,1,0,0,0,0,0,0,0,0,0,0,3.0,0
88,2016,Preseason,2,DAL,41,MIA,14,DAL,1,0,1,0,0,0,0,0,0,0,0,0,0,3.0,0
89,2016,Regular,2,NYG,16,NO,13,NYG,0,1,0,0,0,0,0,0,0,0,1,0,0,2.0,0
90,2016,Preseason,2,DEN,24,SF,31,DEN,3,0,3,0,0,0,0,0,0,0,0,0,0,1.0,0
91,2016,Regular,2,DET,15,TEN,16,DET,1,0,0,0,0,0,0,0,1,0,0,0,1,3.0,0
92,2016,Preseason,2,NE,23,CHI,22,NE,0,0,0,0,0,0,0,0,1,0,0,0,0,1.0,0
93,2016,Regular,2,OAK,28,ATL,35,ATL,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0
94,2016,Preseason,2,JAC,21,TB,27,TB,0,0,0,0,0,0,0,0,4,0,0,0,0,1.0,0
95,2016,Regular,2,LA,9,SEA,3,SEA,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,0
96,2016,Regular,2,DET,15,TEN,16,TEN,0,0,0,0,0,0,0,0,1,0,0,0,0,4.0,0
