season_year,season_type,week,team,forced_fumble,fg_block,fumble_rec,fumble_rec_tds,kicking_rec_tds,kickret_tds,puntret_tds,puntret_tds.1,ints,int_tds,misc_tds,punt_block,safety,sack,xp_block,team_score,opp_score,opp_team,h/a,DK points
2016,Preseason,1,DEN,1,0,0,0,0,0,0,0,1,0,1,1,1,7.0,0,22,0,CHI,0,29.0
2016,Preseason,1,GB,0,0,1,0,0,0,0,0,1,0,0,0,2,4.0,0,17,11,CLE,1,16.0
2016,Regular,1,TEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,16,25,MIN,1,0.0
2016,Regular,1,TB,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,0,31,24,ATL,0,3.0
2016,Preseason,1,MIN,0,0,0,0,0,0,0,0,2,0,0,0,0,2.0,0,17,16,CIN,0,7.0
2016,Regular,1,SF,0,0,0,0,0,0,0,0,2,0,0,0,0,2.0,0,28,0,LA,1,16.0
2016,Regular,1,PHI,1,0,0,0,0,0,0,0,1,0,0,0,0,3.0,0,29,10,CLE,1,9.0
2016,Regular,1,SEA,1,1,0,0,0,0,0,0,0,0,0,0,0,4.0,0,12,10,MIA,1,10.0
2016,Regular,1,MIN,1,0,2,1,0,0,0,0,1,1,0,0,0,2.0,0,25,16,TEN,0,21.0
2016,Preseason,1,SEA,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0,17,16,KC,0,3.0
2016,Preseason,1,OAK,1,0,1,0,0,0,0,0,2,0,0,0,0,1.0,0,31,10,ARI,0,11.0
2016,Regular,1,CIN,0,1,0,0,0,0,0,0,1,0,0,0,0,1.0,0,23,22,NYJ,0,5.0
2016,Preseason,1,WAS,1,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0,17,23,ATL,0,2.0
2016,Preseason,1,NYG,1,0,0,0,0,0,0,0,1,0,0,0,0,4.0,0,10,27,MIA,1,6.0
2016,Preseason,1,NO,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0,22,34,NE,0,1.0
2016,Preseason,1,NYJ,0,0,0,0,0,0,0,0,1,0,0,0,0,3.0,0,17,13,JAC,1,9.0
2016,Preseason,1,NE,3,0,2,1,0,0,0,0,2,1,0,0,0,2.0,0,34,22,NO,1,22.0
2016,Regular,1,ARI,2,0,2,0,0,0,0,0,0,0,0,0,0,2.0,0,21,23,NE,1,6.0
2016,Preseason,1,HOU,1,0,2,1,0,0,0,0,0,0,0,0,0,1.0,0,24,13,SF,0,15.0
2016,Preseason,1,CLE,0,0,0,0,0,0,0,0,1,0,0,0,1,2.0,0,11,17,GB,0,7.0
2016,Preseason,1,CAR,1,0,2,0,0,0,0,0,1,0,0,0,0,1.0,0,19,22,BAL,0,7.0
2016,Regular,1,DEN,0,0,0,0,0,0,0,0,1,0,0,0,0,3.0,0,21,20,CAR,1,6.0
2016,Preseason,1,IND,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0,19,18,BUF,0,3.0
2016,Regular,1,DAL,1,0,0,0,0,0,0,0,1,0,0,0,0,2.0,0,19,20,NYG,1,5.0
2016,Preseason,1,KC,0,0,0,0,0,0,0,0,1,0,0,0,0,2.0,0,16,17,SEA,1,5.0
2016,Regular,1,NYJ,0,0,0,0,0,0,0,0,1,0,0,0,0,7.0,0,22,23,CIN,1,9.0
2016,Regular,1,WAS,1,0,0,0,0,0,0,0,1,0,0,0,0,1.0,0,16,38,PIT,1,-1.0
2016,Preseason,1,BAL,1,0,2,0,0,0,0,0,0,0,0,0,0,3.0,0,22,19,CAR,1,8.0
2016,Preseason,1,CHI,0,1,0,0,0,0,0,0,1,0,0,0,0,3.0,0,0,22,DEN,1,7.0
2016,Regular,1,PIT,1,0,0,0,0,0,0,0,2,0,0,0,0,0.0,0,38,16,WAS,0,5.0
2016,Regular,1,LA,2,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0,0,28,SF,0,1.0
2016,Regular,1,NE,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,0,23,21,ARI,0,3.0
2016,Preseason,1,JAC,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,0,13,17,NYJ,0,4.0
2016,Regular,1,SD,0,0,0,0,0,0,0,0,1,0,0,0,0,3.0,0,27,33,KC,0,4.0
2016,Preseason,1,BUF,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0,18,19,IND,1,5.0
2016,Preseason,1,DAL,0,0,0,0,0,1,0,0,2,0,0,0,0,1.0,0,24,28,UNK,0,10.0
2016,Regular,1,NO,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,34,35,OAK,1,-4.0
2016,Preseason,1,MIA,3,0,2,0,0,0,0,0,2,0,0,0,0,4.0,0,27,10,NYG,0,16.0
2016,Regular,1,ATL,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0,24,31,TB,1,1.0
2016,Preseason,1,UNK,1,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0,28,24,DAL,1,2.0
2016,Preseason,1,SF,1,0,0,0,0,0,0,0,0,0,0,0,0,3.0,0,13,24,HOU,1,3.0
2016,Regular,1,KC,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,33,27,SD,1,1.0
2016,Preseason,1,TB,1,0,0,0,0,0,0,0,1,0,0,0,0,4.0,0,9,17,PHI,0,7.0
2016,Regular,1,CLE,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0,10,29,PHI,0,1.0
2016,Preseason,1,PIT,3,0,1,0,0,0,0,0,1,1,0,0,0,1.0,0,17,30,DET,1,10.0
2016,Preseason,1,ATL,1,0,0,0,0,1,0,0,0,0,0,0,0,3.0,0,23,17,WAS,1,10.0
2016,Regular,1,CAR,1,0,1,0,0,0,0,0,2,0,0,0,0,2.0,0,20,21,DEN,0,8.0
2016,Regular,1,BAL,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0,13,7,BUF,1,6.0
2016,Regular,1,CHI,1,0,0,0,0,0,0,0,1,0,0,0,0,2.0,0,14,23,HOU,0,4.0
2016,Preseason,1,PHI,3,0,2,0,0,0,0,0,3,0,0,0,0,3.0,0,17,9,TB,1,17.0
2016,Regular,1,BUF,0,0,1,0,0,0,0,0,0,0,0,0,0,4.0,0,7,13,BAL,0,10.0
2016,Regular,1,MIA,0,0,1,0,0,0,0,0,1,0,0,0,0,3.0,1,10,12,SEA,0,13.0
2016,Preseason,1,SD,2,0,1,0,0,0,0,0,0,0,0,0,0,3.0,0,10,27,TEN,0,5.0
2016,Regular,1,IND,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,35,39,DET,1,-3.0
2016,Preseason,1,CIN,0,0,0,0,0,0,1,1,1,0,0,0,0,1.0,0,16,17,MIN,1,10.0
2016,Preseason,1,DET,3,0,1,0,0,1,0,0,0,0,0,0,0,4.0,0,30,17,PIT,0,13.0
2016,Regular,1,NYG,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,20,19,DAL,0,1.0
2016,Regular,1,OAK,2,0,1,0,0,0,0,0,0,0,0,0,0,1.0,0,35,34,NO,0,2.0
2016,Regular,1,DET,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0,39,35,IND,0,-2.0
2016,Preseason,1,TEN,1,0,0,0,0,0,0,0,2,0,0,0,0,2.0,0,27,10,SD,1,10.0
