,season_year,season_type,week,home_team,home_score,away_team,away_score,team,full_name,position,receiving_rec,receiving_tar,receiving_tds,receiving_twopta,receiving_twoptm,receiving_yac,receiving_yds,fumbles_total,fumble_rec_tds,kicking_rec_tds,kickret_tds,puntret_tds,rushing_att,rushing_yds,rushing_tds,rushing_loss_yards,rushing_twoptm
0,2016,Preseason,1,ARI,10,OAK,31,ARI,Chris Hubert,WR,1,4,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0
1,2016,Preseason,1,ARI,10,OAK,31,ARI,J.J. Nelson,WR,1,6,0,0,0,0,11,1,0,0,0,0,0,0,0,0,0
2,2016,Preseason,1,ARI,10,OAK,31,ARI,Larry Fitzgerald,WR,1,2,0,0,0,0,-3,0,0,0,0,0,0,0,0,0,0
3,2016,Preseason,1,ARI,10,OAK,31,ARI,Michael Floyd,WR,1,1,0,0,0,30,30,0,0,0,0,0,0,0,0,0,0
4,2016,Preseason,1,ARI,10,OAK,31,OAK,Amari Cooper,WR,1,4,0,0,0,9,6,0,0,0,0,0,0,0,0,0,0
5,2016,Preseason,1,ARI,10,OAK,31,OAK,Andre Holmes,WR,2,2,1,0,0,0,8,1,0,0,0,0,0,0,0,0,0
6,2016,Preseason,1,ARI,10,OAK,31,OAK,Michael Crabtree,WR,2,2,0,0,0,3,38,0,0,0,0,0,0,0,0,0,0
7,2016,Preseason,1,ARI,10,OAK,31,OAK,Seth Roberts,WR,1,2,0,0,0,10,9,0,0,0,0,0,0,0,0,0,0
8,2016,Preseason,1,ATL,23,WAS,17,ATL,Aldrick Robinson,WR,3,5,0,0,0,23,118,0,0,0,0,0,0,0,0,0,0
9,2016,Preseason,1,ATL,23,WAS,17,ATL,Devin Fuller,WR,1,1,0,0,0,3,17,0,0,0,0,0,0,0,0,0,0
10,2016,Preseason,1,ATL,23,WAS,17,ATL,Eric Weems,WR,1,2,0,0,0,11,48,0,0,0,0,0,0,0,0,0,0
11,2016,Preseason,1,ATL,23,WAS,17,ATL,Justin Hardy,WR,1,1,0,0,0,5,17,0,0,0,0,0,0,0,0,0,0
12,2016,Preseason,1,ATL,23,WAS,17,ATL,Mohamed Sanu,WR,2,4,0,0,0,2,18,0,0,0,0,0,0,0,0,0,0
13,2016,Preseason,1,ATL,23,WAS,17,WAS,DeSean Jackson,WR,1,1,0,0,0,-1,5,0,0,0,0,0,0,0,0,0,0
14,2016,Preseason,1,ATL,23,WAS,17,WAS,Maurice Harris,WR,1,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
15,2016,Preseason,1,ATL,23,WAS,17,WAS,Pierre Garcon,WR,1,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
