season_year,season_type,week,home_team,home_score,away_team,away_score,team,full_name,position,receiving_rec,receiving_tar,receiving_tds,receiving_twopta,receiving_twoptm,receiving_yac,receiving_yds,fumbles_total,fumble_rec_tds,kicking_rec_tds,puntret_tds,kickret_tds,rushing_att,rushing_yds,rushing_tds,rushing_loss_yards,rushing_twoptm
2016,Preseason,1,ARI,10,OAK,31,ARI,Ifeanyi Momah,TE,3,4,0,0,0,9,33,0,0,0,0,0,0,0,0,0,0
2016,Preseason,1,ARI,10,OAK,31,ARI,Troy Niklas,TE,2,3,0,0,0,35,44,0,0,0,0,0,0,0,0,0,0
2016,Preseason,1,ARI,10,OAK,31,OAK,Clive Walford,TE,1,2,1,0,0,1,19,0,0,0,0,0,0,0,0,0,0
2016,Preseason,1,ARI,10,OAK,31,OAK,Gabe Holmes,TE,1,2,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0
2016,Preseason,1,ATL,23,WAS,17,ATL,Josh Perkins,TE,1,1,0,0,0,3,11,0,0,0,0,0,0,0,0,0,0
2016,Preseason,1,ATL,23,WAS,17,WAS,Logan Paulsen,TE,1,3,0,0,0,8,28,0,0,0,0,0,0,0,0,0,0
2016,Preseason,1,ATL,23,WAS,17,WAS,Niles Paul,TE,1,2,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
2016,Preseason,1,BAL,22,CAR,19,BAL,Daniel Brown,TE,2,2,0,0,0,3,9,0,0,0,0,0,0,0,0,0,0
2016,Preseason,1,BAL,22,CAR,19,BAL,Darren Waller,TE,5,8,0,0,0,7,48,0,0,0,0,0,0,0,0,0,0
2016,Preseason,1,BAL,22,CAR,19,BAL,Maxx Williams,TE,2,2,0,0,0,7,15,0,0,0,0,0,0,0,0,0,0
2016,Preseason,1,BAL,22,CAR,19,BAL,Nick Boyle,TE,2,4,0,1,1,21,33,0,0,0,0,0,0,0,0,0,0
2016,Preseason,1,BAL,22,CAR,19,CAR,Greg Olsen,TE,2,2,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0
2016,Preseason,1,BUF,18,IND,19,BUF,Blake Annen,TE,2,3,0,0,0,7,26,0,0,0,0,0,0,0,0,0,0
2016,Preseason,1,BUF,18,IND,19,BUF,Chris Gragg,TE,2,2,1,0,0,0,26,0,0,0,0,0,0,0,0,0,0
2016,Preseason,1,BUF,18,IND,19,BUF,Nick O'Leary,TE,2,2,0,0,0,8,39,0,0,0,0,0,0,0,0,0,0
2016,Preseason,1,BUF,18,IND,19,IND,Erik Swoope,TE,1,1,0,0,0,10,11,0,0,0,0,0,0,0,0,0,0
2016,Preseason,1,CHI,0,DEN,22,DEN,Jeff Heuerman,TE,1,2,0,0,0,2,6,0,0,0,0,0,0,0,0,0,0
2016,Preseason,1,CHI,0,DEN,22,DEN,Virgil Green,TE,3,3,0,0,0,14,26,0,0,0,0,0,0,0,0,0,0
2016,Preseason,1,CIN,16,MIN,17,CIN,Matt Lengel,TE,1,1,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0
2016,Preseason,1,CIN,16,MIN,17,MIN,David Morgan,TE,3,3,0,0,0,32,38,0,0,0,0,0,0,0,0,0,0
2016,Preseason,1,CIN,16,MIN,17,MIN,MyCole Pruitt,TE,2,2,0,0,0,10,16,0,0,0,0,0,0,0,0,0,0
2016,Preseason,1,GB,17,CLE,11,CLE,Gary Barnidge,TE,2,4,0,0,0,5,10,0,0,0,0,0,0,0,0,0,0
2016,Preseason,1,GB,17,CLE,11,GB,Jared Cook,TE,2,2,0,0,0,7,10,0,0,0,0,0,0,0,0,0,0
2016,Preseason,1,KC,16,SEA,17,KC,Demetrius Harris,TE,2,3,0,0,0,5,16,0,0,0,0,0,0,0,0,0,0
2016,Preseason,1,KC,16,SEA,17,KC,Ross Travis,TE,2,2,0,0,0,14,12,0,0,0,0,0,0,0,0,0,0
2016,Preseason,1,KC,16,SEA,17,SEA,Brandon Williams,TE,1,2,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0
2016,Preseason,1,KC,16,SEA,17,SEA,Nick Vannett,TE,2,2,0,0,0,3,22,0,0,0,0,0,0,0,0,0,0
2016,Preseason,1,NE,34,NO,22,NE,A.J. Derby,TE,3,4,0,0,0,3,47,0,0,0,0,0,0,0,0,0,0
2016,Preseason,1,NE,34,NO,22,NE,Martellus Bennett,TE,3,4,0,0,0,12,33,0,0,0,0,0,0,0,0,0,0
2016,Preseason,1,NE,34,NO,22,NO,Chris Manhertz,TE,1,2,0,0,0,3,11,0,0,0,0,0,0,0,0,0,0
2016,Preseason,1,NE,34,NO,22,NO,Coby Fleener,TE,1,1,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0
2016,Preseason,1,NE,34,NO,22,NO,Josh Hill,TE,1,1,0,0,0,9,4,1,0,0,0,0,0,0,0,0,0
2016,Preseason,1,NYG,10,MIA,27,MIA,Dion Sims,TE,1,2,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0
2016,Preseason,1,NYG,10,MIA,27,MIA,Dominique Jones,TE,2,3,0,0,0,1,25,0,0,0,0,0,0,0,0,0,0
2016,Preseason,1,NYG,10,MIA,27,MIA,Thomas Duarte,TE,1,2,1,0,0,15,16,0,0,0,0,0,0,0,0,0,0
2016,Preseason,1,NYG,10,MIA,27,NYG,Jerell Adams,TE,1,1,0,0,0,3,7,0,0,0,0,0,0,0,0,0,0
2016,Preseason,1,NYJ,17,JAC,13,JAC,Ben Koyack,TE,1,1,0,0,0,3,5,0,0,0,0,0,0,0,0,0,0
2016,Preseason,1,NYJ,17,JAC,13,JAC,Braedon Bowman,TE,2,2,0,0,0,19,28,0,0,0,0,0,0,0,0,0,0
2016,Preseason,1,NYJ,17,JAC,13,JAC,Neal Sterling,TE,3,3,0,0,0,5,32,0,0,0,0,0,0,0,0,0,0
2016,Preseason,1,NYJ,17,JAC,13,NYJ,Brandon Bostick,TE,1,1,0,0,0,2,6,0,0,0,0,0,0,0,0,0,0
2016,Preseason,1,PHI,17,TB,9,PHI,Brent Celek,TE,1,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
2016,Preseason,1,PHI,17,TB,9,PHI,Zach Ertz,TE,3,5,0,0,0,4,26,0,0,0,0,0,0,0,0,0,0
2016,Preseason,1,PHI,17,TB,9,TB,Austin Seferian-Jenkins,TE,2,2,0,0,0,6,10,0,0,0,0,0,0,0,0,0,0
2016,Preseason,1,PHI,17,TB,9,TB,Cameron Brate,TE,1,2,0,0,0,4,5,0,0,0,0,0,0,0,0,0,0
2016,Preseason,1,PIT,17,DET,30,DET,Cole Wick,TE,1,3,0,0,0,1,10,0,0,0,0,0,0,0,0,0,0
2016,Preseason,1,PIT,17,DET,30,PIT,David Johnson,TE,1,1,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0
2016,Preseason,1,PIT,17,DET,30,PIT,Jesse James,TE,1,2,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0
2016,Preseason,1,SF,13,HOU,24,HOU,C.J. Fiedorowicz,TE,1,1,0,0,0,10,12,0,0,0,0,0,0,0,0,0,0
2016,Preseason,1,SF,13,HOU,24,HOU,Stephen Anderson,TE,1,2,1,0,0,0,7,0,0,0,0,0,0,0,0,0,0
2016,Preseason,1,SF,13,HOU,24,SF,Blake Bell,TE,2,3,0,0,0,3,7,0,0,0,0,0,0,0,0,0,0
2016,Preseason,1,SF,13,HOU,24,SF,Garrett Celek,TE,1,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
2016,Preseason,1,SF,13,HOU,24,SF,Vance McDonald,TE,2,2,1,0,0,30,54,0,0,0,0,0,0,0,0,0,0
2016,Preseason,1,TEN,27,SD,10,SD,Hunter Henry,TE,3,4,0,0,0,6,43,0,0,0,0,0,0,0,0,0,0
2016,Preseason,1,TEN,27,SD,10,SD,Jeff Cumberland,TE,1,2,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0
2016,Preseason,1,TEN,27,SD,10,TEN,Alex Ellis,TE,1,1,0,0,0,6,10,1,0,0,0,0,0,0,0,0,0
2016,Preseason,1,TEN,27,SD,10,TEN,Phillip Supernaw,TE,2,3,0,0,0,6,22,0,0,0,0,0,0,0,0,0,0
2016,Preseason,1,UNK,28,DAL,24,DAL,Geoff Swaim,TE,1,3,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0
2016,Preseason,1,UNK,28,DAL,24,UNK,Lance Kendricks,TE,2,2,0,0,0,4,11,0,0,0,0,0,0,0,0,0,0
2016,Preseason,1,UNK,28,DAL,24,UNK,Tyler Higbee,TE,5,6,0,0,0,17,49,0,0,0,0,0,0,0,0,0,0
2016,Regular,1,ARI,21,NE,23,ARI,Jermaine Gresham,TE,4,4,0,0,0,7,41,0,0,0,0,0,0,0,0,0,0
2016,Regular,1,ARI,21,NE,23,NE,Martellus Bennett,TE,3,5,0,0,0,7,14,0,0,0,0,0,0,0,0,0,0
2016,Regular,1,ATL,24,TB,31,ATL,Austin Hooper,TE,1,1,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0
2016,Regular,1,ATL,24,TB,31,ATL,Jacob Tamme,TE,6,8,0,0,0,13,51,0,0,0,0,0,0,0,0,0,0
2016,Regular,1,ATL,24,TB,31,TB,Austin Seferian-Jenkins,TE,1,1,1,0,0,0,30,0,0,0,0,0,0,0,0,0,0
2016,Regular,1,ATL,24,TB,31,TB,Brandon Myers,TE,1,1,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0
2016,Regular,1,ATL,24,TB,31,TB,Cameron Brate,TE,3,4,0,0,0,16,30,0,0,0,0,0,0,0,0,0,0
2016,Regular,1,BAL,13,BUF,7,BAL,Crockett Gillmore,TE,1,1,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0
2016,Regular,1,BAL,13,BUF,7,BAL,Dennis Pitta,TE,3,4,0,0,0,5,39,0,0,0,0,0,0,0,0,0,0
